Source,Target
Hypothyroidism,ATC_code_H03
Hypothyroidism,Abadie%27s_sign_of_exophthalmic_goiter
Hypothyroidism,Acute_infectious_thyroiditis
Hypothyroidism,Acute_kidney_injury
Hypothyroidism,Adrenal_insufficiency
Hypothyroidism,Albumin
Hypothyroidism,Alpha-v_beta-3
Hypothyroidism,Altered_level_of_consciousness
Hypothyroidism,American_Association_of_Clinical_Endocrinologists
Hypothyroidism,American_Thyroid_Association
Hypothyroidism,Amino_acid
Hypothyroidism,Amiodarone
Hypothyroidism,Amiodarone_induced_thyrotoxicosis
Hypothyroidism,Angiogenesis
Hypothyroidism,Ankle_jerk_reflex
Hypothyroidism,Anterior_pituitary
Hypothyroidism,Anti-thyroid_autoantibodies
Hypothyroidism,Antihypotensive_agent
Hypothyroidism,Antithyroid_agent
Hypothyroidism,Anxiety
Hypothyroidism,Ascites
Hypothyroidism,Assisted_reproductive_technology
Hypothyroidism,Ataxia
Hypothyroidism,Atrial_fibrillation
Hypothyroidism,Attention_span
Hypothyroidism,Autoantibody
Hypothyroidism,Autoimmune_disease
Hypothyroidism,Autoimmune_polyendocrine_syndrome
Hypothyroidism,Autoimmune_polyendocrine_syndrome_type_1
Hypothyroidism,Autoimmune_polyendocrine_syndrome_type_2
Hypothyroidism,Autoimmune_thyroiditis
Hypothyroidism,Basal_metabolic_rate
Hypothyroidism,Benzylthiouracil
Hypothyroidism,Bernard_Courtois
Hypothyroidism,Beta-thalassemia
Hypothyroidism,Blood_test
Hypothyroidism,Bone_fracture
Hypothyroidism,Boston%27s_sign
Hypothyroidism,Bradycardia
Hypothyroidism,Calcitonin
Hypothyroidism,Carbimazole
Hypothyroidism,Carpal_tunnel_syndrome
Hypothyroidism,Cause_(medicine)
Hypothyroidism,Celiac_disease
Hypothyroidism,Cell_growth
Hypothyroidism,Cell_membrane
Hypothyroidism,Cell_nucleus
Hypothyroidism,Child_development
Hypothyroidism,Cholesterol
Hypothyroidism,Chronic_fatigue_syndrome
Hypothyroidism,Clinical_trial
Hypothyroidism,Cold_intolerance
Hypothyroidism,Colloid_nodule
Hypothyroidism,Complication_(medicine)
Hypothyroidism,Congenital_hypothyroidism
Hypothyroidism,Congenital_iodine_deficiency_syndrome
Hypothyroidism,Constipation
Hypothyroidism,Coronary_artery_disease
Hypothyroidism,Corticosteroid
Hypothyroidism,Craniopharyngioma
Hypothyroidism,Creatine_kinase
Hypothyroidism,Cretinism
Hypothyroidism,Dalrymple%27s_sign
Hypothyroidism,De_Quervain%27s_thyroiditis
Hypothyroidism,Decompensation
Hypothyroidism,Delayed_puberty
Hypothyroidism,Dementia
Hypothyroidism,Depression_(mood)
Hypothyroidism,Desiccated_thyroid_extract
Hypothyroidism,Diabetes_mellitus_type_1
Hypothyroidism,Dibromotyrosine
Hypothyroidism,Dictionary.com
Hypothyroidism,Differential_diagnosis
Hypothyroidism,Diiodotyrosine
