Source,Target
Hooghli_River,AJC_Bose_Road_%26_APC_Road
Hooghli_River,Abu%27l-Fazl
Hooghli_River,Acharya_Jagadish_Chandra_Bose_Indian_Botanic_Garden
Hooghli_River,Adi_Ganga
Hooghli_River,Ain-i-Akbari
Hooghli_River,Ajay_River
Hooghli_River,Alambazar_Math
Hooghli_River,Amherst_Street_(Kolkata)
Hooghli_River,Anjana_River
Hooghli_River,Aquatica_(Kolkata)
Hooghli_River,Assam
Hooghli_River,Atrai_River
Hooghli_River,Baharampur
Hooghli_River,Bakreshwar_River
Hooghli_River,Balason_River
Hooghli_River,Baleshwar_River
Hooghli_River,"Bally,_Howrah"
Hooghli_River,Ballygunge_Circular_Road
Hooghli_River,Balu_River
Hooghli_River,Bandel
Hooghli_River,Bangali_River
Hooghli_River,Bangladesh
Hooghli_River,Bangshi_River
Hooghli_River,Bansberia
Hooghli_River,Bansloi_River
Hooghli_River,Barak_River
Hooghli_River,Barakar_River
Hooghli_River,Baral_river
Hooghli_River,Baranagar_Math
Hooghli_River,Bardhaman_District
Hooghli_River,Barowari
Hooghli_River,Barrackpore
Hooghli_River,Barrackpore_Trunk_Road
Hooghli_River,Baruipur
Hooghli_River,Batanagar
Hooghli_River,Bay_of_Bengal
Hooghli_River,Beel
Hooghli_River,Belur_Math
Hooghli_River,Bengal
Hooghli_River,Bengali_language
Hooghli_River,Bepin_Behari_Ganguly_Street
Hooghli_River,Berhampore
Hooghli_River,Bhagiratha
Hooghli_River,Bhairab_River
Hooghli_River,Bhatpara
Hooghli_River,Bhodra_River
Hooghli_River,Bidyadhari_River
Hooghli_River,Bishkhali_River
Hooghli_River,Bowbazar
Hooghli_River,Brahmani_River_(Birbhum)
Hooghli_River,Brahmaputra_River
Hooghli_River,Bura_Gauranga_River
Hooghli_River,Buriganga_River
Hooghli_River,CESC_Tunnel
Hooghli_River,Calcutta
Hooghli_River,Camac_Street
Hooghli_River,Central_Park_(Kolkata)
Hooghli_River,Chalan_Beel
Hooghli_River,Chandannagar
Hooghli_River,Chhatrabhog
Hooghli_River,Chhau_dance
Hooghli_River,Chiknai_River
Hooghli_River,Chinsurah
Hooghli_River,Chiri_River
Hooghli_River,Chitpur
Hooghli_River,Chittaranjan_Avenue
Hooghli_River,Choita_River
Hooghli_River,Chowringhee
Hooghli_River,Chowringhee_Road
Hooghli_River,Church_of_the_Lord_Jesus_(Calcutta)
Hooghli_River,College_Street_(Kolkata)
Hooghli_River,Country_boats_in_Bangladesh
Hooghli_River,Currency_Building
Hooghli_River,Dakatia_River
Hooghli_River,Dakshineswar
Hooghli_River,Dakshineswar_Kali_Temple
Hooghli_River,Damodar_River
Hooghli_River,Damodar_Valley_Corporation
Hooghli_River,Dhalai_River
Hooghli_River,Dhaleshwari_River
Hooghli_River,Dhanshiri
Hooghli_River,Dhanu_River
Hooghli_River,Dharla_River
Hooghli_River,Dhepa_River
Hooghli_River,Dhulian
Hooghli_River,Diamond_Harbour
Hooghli_River,Distributary
Hooghli_River,Durga_Puja
Hooghli_River,Dwarakeswar_River
Hooghli_River,Dwarka_River
Hooghli_River,East_Bengal_Ground
Hooghli_River,East_West_Metro_Tunnel
Hooghli_River,Eastern_Metropolitan_Bypass
Hooghli_River,"Eco_Park,_New_Town"
Hooghli_River,Eden_Gardens
Hooghli_River,Encyclop%C3%A6dia_Britannica_Eleventh_Edition
Hooghli_River,"Esplanade,_Kolkata"
Hooghli_River,Farakka_Barrage
Hooghli_River,Farakka_Feeder_Canal
Hooghli_River,Feeder_Canal_(Farakka)
Hooghli_River,Feni_River
Hooghli_River,Football_in_Kolkata
Hooghli_River,Fort_William_(India)
Hooghli_River,Forum_(Kolkata)
Hooghli_River,Francis_Frith
Hooghli_River,Freshet
Hooghli_River,Gandheswari_River
Hooghli_River,Ganges
Hooghli_River,Ganges_Delta
