page_name,categories
Arj_Barker,"{'Comedians from San Francisco', 'ARIA Award winners', '20th-century American comedians', 'Actors from Marin County, California', '21st-century American comedians', 'American male comedians', 'Comedians from Marin County, California', 'American people of Punjabi descent', 'American stand-up comedians', 'Living people', 'People from San Anselmo, California', 'Male actors from San Francisco', '1974 births', 'American male actors of Indian descent'}"
Bezos_I,"{'2021 songs', 'Songs about real people', 'Songs about business people', 'Songs written by Bo Burnham', 'American comedy songs', 'Jeff Bezos', 'American novelty songs'}"
Billy_Byers,"{'American male trombonists', '20th-century American male musicians', '1996 deaths', '1927 births', 'American jazz trombonists', 'Jazz musicians from California', 'Drama Desk Award winners', 'Best Original Music Score AACTA Award winners', 'American male jazz musicians', '20th-century American trombonists', 'Jazz arrangers'}"
Bo_Burnham,"{'American comedy musicians', 'Singer-songwriters from Massachusetts', 'Grammy Award winners', '21st-century American male writers', 'Rappers from Massachusetts', ""St. John's Preparatory School (Massachusetts) alumni"", 'American male television writers', '21st-century American male actors', 'People from Hamilton, Massachusetts', '21st-century American screenwriters', '21st-century American rappers', '1990 births', 'Directors Guild of America Award winners', 'Writers Guild of America Award winners', 'American Vine (service) celebrities', 'Living people', 'Primetime Emmy Award winners', 'American male film actors', 'American male comedians', 'American comedy writers', 'Comedians from Essex County, Massachusetts', 'American television writers', 'American male voice actors', 'American male television actors', 'Male actors from Essex County, Massachusetts', 'Comedy-related YouTube channels', '21st-century American comedians', 'Filmmakers from Massachusetts', 'American stand-up comedians', 'YouTubers from Massachusetts', 'Screenwriters from Massachusetts'}"
Bob_Florence,"{'American jazz bandleaders', 'American big band bandleaders', 'Deaths from pneumonia in California', '1932 births', 'Grammy Award winners', 'Primetime Emmy Award winners', '20th-century American male musicians', 'American male jazz pianists', 'Jazz musicians from California', 'American jazz pianists', 'American music arrangers', 'Summit Records artists', 'Burials at Valley Oaks Memorial Park', 'Musicians from Los Angeles', '2008 deaths', '20th-century American pianists'}"
Callie_Khouri,"{'American women dramatists and playwrights', 'Best Original Screenplay Academy Award winners', 'American women television writers', 'American women television producers', '20th-century American dramatists and playwrights', 'Writers from San Antonio', 'American people of Lebanese descent', '20th-century American women writers', '1957 births', '21st-century American dramatists and playwrights', 'American women film producers', 'Writers Guild of America Award winners', '21st-century American women writers', 'Living people', 'Film directors from Texas', 'Best Screenplay Golden Globe winners', 'American women film directors', 'American television writers', 'Film producers from Texas', 'American women screenwriters', 'American showrunners', 'American women television directors', 'Screenwriters from Texas', 'Screenwriting instructors', 'Television producers from Texas', 'American television directors'}"
Comedy_Central_Records,"{'2002 establishments in the United States', 'Comedy record labels', 'Comedy Central', 'Record labels established in 2002', 'American independent record labels'}"
David_Newman_(screenwriter),"{'American film producers', 'American screenwriter stubs, 1930s birth stubs', 'American male screenwriters', 'University of Michigan alumni', 'Hugo Award–winning writers', '1937 births', 'American film producer stubs', '20th-century American screenwriters', 'Writers Guild of America Award winners', '20th-century American male writers', '2003 deaths'}"
David_Sirota,"{'21st-century American journalists', '21st-century American male writers', 'American male bloggers', 'Radio personalities from Philadelphia', 'American male non-fiction writers', 'William Penn Charter School alumni', 'Writers Guild of America Award winners', 'Journalists from Denver', 'American political writers', 'Living people', 'The Young Turks people', 'American bloggers', 'American people of Russian-Jewish descent', 'American male journalists', 'Jewish American journalists', '1975 births', 'American political consultants', 'American political journalists', '21st-century American Jews', 'Northwestern University alumni', 'Bernie Sanders 2020 presidential campaign', '21st-century American non-fiction writers', 'HuffPost writers and columnists', 'Jewish bloggers', 'Jewish American non-fiction writers', 'Journalists from Montana'}"
Donald_Pippin_(Broadway_director),"{'21st-century American conductors (music)', '20th-century American male musicians', '21st-century American male musicians', 'Musicians from Macon, Georgia', 'American musician stubs', '2022 deaths', '20th-century American conductors (music)', 'Members of The Lambs Club', 'American male conductors (music)', '1926 births'}"
Emma_Thompson,"{'British environmentalists', 'Best Actress BAFTA Award winners', 'People educated at Camden School for Girls', 'British women comedians', 'British stage actresses', '20th-century British women writers', 'Anglo-Scots', 'British voice actresses', 'Labour Party (UK) people', 'British women environmentalists', 'Actresses from London', 'Actresses awarded damehoods', 'Emma Thompson', 'Alumni of Newnham College, Cambridge', 'Best Drama Actress Golden Globe (film) winners', 'Writers Guild of America Award winners', 'British musical theatre actresses', 'Living people', 'Best Screenplay Golden Globe winners', 'Dames Commander of the Order of the British Empire', 'Writers from the London Borough of Camden', 'Primetime Emmy Award winners', 'Fellows of Newnham College, Cambridge', 'British women screenwriters', '20th-century British actresses', 'Best Actress Academy Award winners', '21st-century atheists', 'British feminist writers', 'People associated with Argyll and Bute', '21st-century British actresses', 'Best Adapted Screenplay Academy Award winners', 'British critics of religions', 'Best Actress BAFTA Award (television) winners', '20th-century atheists', 'British radio actresses', 'British television actresses', 'British Shakespearean actresses', 'British atheists', 'Individualist feminists', '1959 births', 'Audiobook narrators', 'British film actresses', 'Comedians from the London Borough of Camden', 'British HIV/AIDS activists', 'Fellows of the Royal Society of Literature', '21st-century British women writers', 'Actors from the London Borough of Camden'}"
Grammy_Award_for_Best_Song_Written_for_Visual_Media,"{'Awards established in 1988', 'Film awards for best song', 'Songwriting awards', 'Grammy Award categories', 'Grammy Award for Best Song Written for Visual Media'}"
Greta_Gerwig,"{'Film directors from California', 'People with attention deficit hyperactivity disorder', 'American people of German descent', 'American voice actresses', 'Screenwriters from California', 'Nebula Award winners', 'American women film producers', 'Barnard College alumni', 'American actors with disabilities', 'Actresses from Sacramento, California', 'Living people', 'American writers with disabilities', 'American television actresses', 'Best Screenplay Independent Spirit Award winners', 'American women film directors', 'Writers from Sacramento, California', 'American women screenwriters', '1983 births', 'Greta Gerwig', 'American film actresses', 'American Unitarian Universalists', '21st-century American actresses'}"
