page_name,categories
%C5%BBydowski_Instytut_Historyczny,"{'1947 establishments in Poland', 'Research institutes established in 1947', 'Research institutes in Poland', 'Jewish studies research institutes', 'Jewish organisations based in Poland', 'Jewish history in Warsaw', 'History institutes', 'History organisations based in Poland', 'Buildings and structures in Warsaw'}"
1998_Venezuelan_presidential_election,"{'Bolivarian Revolution', '1998 elections in South America', 'Hugo Chávez', 'December 1998 in South America', 'Presidential elections in Venezuela', '1998 in Venezuela'}"
Affricate_consonant,"{'Affricates', 'Manner of articulation'}"
Americanist_phonetic_notation,"{'Writing systems introduced in the 1880s', 'Phonetic alphabets'}"
Argentine_Patriotic_League,"{'Defunct political parties in Argentina', 'Anti-communism in Argentina', '1931 disestablishments in Argentina', 'Paramilitary organisations based in Argentina', 'Antisemitism in Argentina', 'Fascist organizations', '1919 establishments in Argentina', 'Fascism in Argentina', 'Christian fascism'}"
Bhadrawahi_language,"{'Endangered languages of India', 'Languages of Jammu and Kashmir', 'Languages listed as Hindi dialects in latest census'}"
Bhili_languages,"{'Languages of Madhya Pradesh', 'Western Indo-Aryan languages', 'Indo-Aryan language stubs', 'Languages of Maharashtra', 'Languages of Rajasthan', 'Languages of India', 'Indian culture stubs', 'Languages of Sindh', 'Languages of Gujarat', 'Bhil'}"
Bielefeld,"{'Urban districts of North Rhine-Westphalia', 'Members of the Hanseatic League', 'Cities in North Rhine-Westphalia', 'Bielefeld', 'Holocaust locations in Germany', 'Detmold (region)'}"
Brain_rot,"{'Internet terminology', 'Internet memes introduced in 2023', '2020s fads and trends', 'Generation Alpha slang', 'Generation Z slang', 'Generation Alpha', 'Generation Z'}"
Buddhism,"{'Indian religions', 'Buddhism', 'Transtheism', 'Polytheism', 'Gautama Buddha', 'Nāstika'}"
Carian_language,"{'Anatolian languages', 'Languages attested from the 7th century BC', 'Carian language', 'Languages extinct in the 3rd century BC'}"
Cato_(Magazin),"{'21st-century German historians', 'University of Göttingen alumni', 'New Right (Europe)', '20th-century German historians', 'Living people', '1959 births'}"
Chang%27an,"{'Ancient Chinese capitals', ""History of Xi'an"", 'Xin dynasty', 'Sui dynasty', 'Sites along the Silk Road', 'Tang dynasty', 'Han dynasty', 'Populated places along the Silk Road', 'Major National Historical and Cultural Sites in Shaanxi'}"
Clemens_August_Graf_von_Galen,"{'Von Galen family', 'Critics of atheism', '20th-century German cardinals', '20th-century venerated Christians', 'Catholicism and antisemitism', 'German beatified people', 'Catholic resistance to Nazi Germany', '1878 births', 'German nationalists', '1946 deaths', 'Roman Catholics in the German Resistance', 'Cardinals created by Pope Pius XII', 'Catholic saints and blesseds of the Nazi era', 'Venerated Catholics by Pope John Paul II', 'Antisemitism in Germany', 'Counts in Germany', 'Beatifications by Pope Benedict XVI', 'Critics of Marxism', 'Conservatism in Germany', 'German conservatives in the German Resistance', 'German monarchists', 'German anti-communists', 'Anti-Marxism', 'Roman Catholic bishops of Münster', 'Burials at Münster Cathedral', 'German Army personnel of World War I', 'University of Fribourg alumni', 'German medievalists', 'People from Vechta (district)'}"
Conservatism_in_Germany,{'Conservatism in Germany'}
Copyright_Act_of_1976,"{'1976 in American law', 'United States federal copyright legislation'}"
De_(Chinese),"{'Taoist philosophy', 'Chinese culture', 'Confucian ethics', 'Virtue', 'Buddhism in China', 'Concepts in Chinese philosophy'}"
Demure,"{'Modesty', 'Seven virtues'}"
Dongfang_Shuo,"{'Philosophers from Shandong', 'Han dynasty government officials', 'Politicians from Binzhou', '2nd-century BC Chinese philosophers', 'Chinese scholars', 'Deified Chinese men'}"
Early_Buddhist_schools,"{'Early Buddhism', 'Nikaya schools', 'Timelines of Buddhist history', 'Early Buddhist schools', 'Schools of Buddhism'}"
Fijian_language,"{'Languages of Fiji', 'East Fijian languages', 'Verb–object–subject languages', 'Fijian language'}"
Free_Gospel_Church,"{'Pentecostal denominations', 'Christian organizations established in 1916', 'Holiness Pentecostals', 'Pentecostal denominations established in the 20th century', 'Christian denominations founded in the United States'}"
Friedrich_Hielscher,"{'People from Plauen', 'German conservatives in the German Resistance', '20th-century German philosophers', 'Conservative Revolutionary movement', '20th-century Freikorps personnel', '20th-century German male writers', '20th-century German poets', 'German revolutionaries', 'Modern pagan writers', 'German modern pagans', 'German male poets', 'People from the Kingdom of Saxony', 'Writers from Saxony', '1902 births', 'German nationalists', '1990 deaths'}"
Gyanendra_Pandey_(historian),"{'Johns Hopkins University faculty', 'Emory University faculty', 'Delhi University alumni', 'People from Ghazipur', 'Writers about Hindu nationalism', 'Academics of the University of Leeds', ""St. Stephen's College, Delhi alumni"", '1949 births', 'Living people', 'Alumni of Balliol College, Oxford', 'Historians of South Asia', '20th-century Indian historians', 'Indian political writers'}"
Hindutva,"{'Hindutva', 'Bharatiya Janata Party', 'Ethnic nationalism', 'Right-wing politics in India', 'Right-wing ideologies', 'Islamophobia in India', 'Hindu nationalism', 'Criticism of Hinduism', 'Anti-Christian sentiment in India', 'Political ideologies', 'Fascist movements', '1922 introductions', 'Sangh Parivar', 'Far-right politics in India', 'Fascism in India', 'Fascism', 'Neo-fascism', 'Conservatism in India', 'Fascism and religion', 'Anti-Islam sentiment in India'}"
Indo-Aryan_languages,"{'Indo-Aryan languages', 'Indo-European languages'}"
Jandavra_language,"{'Pakistan stubs', 'Western Indo-Aryan languages', 'Indo-Aryan language stubs', 'Languages of Rajasthan', 'Languages of Sindh'}"
Jiao_Yu,"{'Ming dynasty philosophers', 'Ming dynasty writers', '14th-century Chinese philosophers', 'Ming dynasty generals', '14th-century Chinese writers', 'Chinese military writers'}"
Josef_B%C3%BChler,"{'20th-century German civil servants', '1904 births', 'Holocaust perpetrators in Poland', 'Executed German mass murderers', 'Ludwig Maximilian University of Munich alumni', 'German prisoners of war in World War II held by the United States', 'Humboldt University of Berlin alumni', '1948 deaths', 'People from the Kingdom of Württemberg', 'General Government', 'Executed people from Baden-Württemberg', 'Executions by the Supreme National Tribunal', 'Lawyers in the Nazi Party', 'University of Kiel alumni', 'Wannsee Conference attendees', 'People extradited to Poland', 'University of Erlangen–Nuremberg alumni', 'People from Bad Waldsee'}"
Mahavidya,"{'Hindu goddesses', 'Forms of Parvati', '10 (number)', 'Hindu tantric deities', 'Mahavidyas'}"
Nationalist_Front_(Germany),"{'Neo-fascist terrorism', 'Banned political parties in Germany', 'Political parties established in 1985', 'Terrorism in Germany', 'Banned far-right parties', 'Political parties disestablished in 1992', '1985 establishments in West Germany', 'Strasserism', '1992 disestablishments in Germany', 'Neo-Nazi political parties in Germany'}"
Ngero%E2%80%93Vitiaz_languages,"{'Ngero–Vitiaz languages', 'North New Guinea languages', 'Languages of Papua New Guinea'}"
Origins_of_Czechoslovakia,"{'1918 in Czechoslovakia', 'Czech nationalism', '1918 in politics', 'Slovak nationalism', 'Foundations of countries'}"
Political_influence_of_Evangelicalism_in_Latin_America,"{'Conservatism in South America', 'Protestant political parties', 'Politics of South America', 'Conservatism in North America', 'History of South America', 'Evangelicalism in South America', 'Christian political parties', 'Christianity and political ideologies', 'United States–South American relations', 'United States–Central American relations'}"
Proselytism,"{'Persuasion', 'Religious conversion'}"
Prussian_Ministry_of_the_Interior,"{'Internal affairs ministries', 'Lists of government ministers of Prussia', 'Interior ministers of Prussia'}"
Public_domain,"{'Copyright law legal terminology', 'Copyright law', 'Intellectual property law', 'Stock media', 'Public domain'}"
Religion_in_Slovakia,{'Religion in Slovakia'}
Revisionist_Zionism,"{'Jewish anti-communism', 'Transjordan (region)', 'Revisionist Zionism'}"
Sadao_Araki,"{'Prisoners sentenced to life imprisonment by international courts and tribunals', '1877 births', 'Recipients of the Order of the Golden Kite', 'Military personnel from Tokyo', 'Recipients of the Order of St. Vladimir, 4th class', 'Burials at Tama Cemetery', 'Kazoku', 'Ministers of the Imperial Japanese Army', 'Japanese military personnel of the Russo-Japanese War', 'Grand Crosses of the Order of the Sun of Peru', 'Recipients of the Croix de Guerre 1914–1918 (France)', 'Japanese people convicted of the international crime of aggression', 'Japanese prisoners sentenced to life imprisonment', 'Kokkashugi', 'Recipients of the Order of St. Anna, 2nd class', 'Japanese politicians convicted of crimes', 'Grand Cordons of the Order of the Rising Sun', 'Recipients of the Order of the Sacred Treasure, 1st class', '1966 deaths', 'People from Komae, Tokyo', 'People paroled from life sentence', 'Imperial Japanese Army generals of World War II', 'Government ministers of Japan', 'People convicted by the International Military Tribunal for the Far East', 'Japanese fascists'}"
Terebu_language,"{'Schouten languages', 'Languages of Papua New Guinea', 'Western Oceanic language stubs'}"
The_Holocaust_in_Poland,"{'The Holocaust by country', 'The Holocaust in Poland'}"
Tilaka,"{'Objects used in Hindu worship', 'Hindu traditions', 'Cosmetics', 'Hindu symbols'}"
Timeline_of_anti-Zionism,"{'Anti-Zionism', 'History of Zionism', 'Jewish history timelines'}"
Trads_(Hindu_nationalism),"{'Far-right politics and social media', 'Hindutva', 'Incitement to genocide by the Hindutva movement', 'Sexism in India', 'Alt-right in Asia', 'Hindu nationalism', 'Incitement to genocide of Muslims'}"
Up%C4%81li,"{'5th-century Buddhist monks', 'Arhats', 'Buddhist patriarchs', 'Shakyas', 'Foremost disciples of Gautama Buddha', '5th-century Indian monks'}"
Varuna,"{'Asura', 'Varuna', 'Underworld gods', 'Justice gods', 'Water and Hinduism', 'Lokapala', 'Water gods'}"
Vimuttimagga,"{'Pali Buddhist texts', 'Boran Theravada texts'}"
Voiceless_bilabial_affricate,"{'Voiceless oral consonants', 'Affricates', 'Bilabial consonants', 'Central consonants', 'Pulmonic consonants'}"
Yi_(philosophy),"{'Confucian ethics', 'Concepts in Chinese philosophy'}"
Zhang_Lu_(Han_dynasty),"{'Han dynasty government officials', 'Taoist religious leaders', 'Han dynasty warlords', '2nd-century births', '216 deaths', 'Political office-holders in Shaanxi', 'Way of the Celestial Masters', 'Han dynasty Taoists'}"
Zionist_Organization_Mizrachi,"{'Political parties disestablished in 1934', 'Latvia politics stubs', 'Zionist political parties in Europe', 'Political parties established in 1921', 'Political parties of minorities in Latvia', '1934 disestablishments in Latvia', 'Defunct political parties in Latvia', 'Jews and Judaism in Latvia', 'Jewish Latvian history', 'Religious Zionist organizations', 'Zionism in Latvia', 'Jewish history stubs', 'Northern European political party stubs'}"
