Source,Target
Brain_training,Alzheimer%27s
Brain_training,Brain_Age
Brain_training,Brain_rot
Brain_training,Brain_training_programs
Brain_training,Cardiovascular_fitness
Brain_training,ISBN_(identifier)
Brain_training,Juggling
Brain_training,LearningRx
Brain_training,Lumosity
Brain_training,Overhead_press
Brain_training,Posit_Science_Corporation
Brain_training,Scientific_evidence
Brain_training,Traumatic_brain_injury
Brain_training,Working_memory
Esports,142nd_IOC_Session
Esports,1997_Asian_financial_crisis
Esports,2006_in_esports
Esports,2007_Asian_Indoor_Games
Esports,2007_in_esports
Esports,2008_in_esports
Esports,2009_in_esports
Esports,2010_in_esports
Esports,2011_in_esports
Esports,2012_MLG_Summer_Championship
Esports,2012_in_esports
Esports,2013_in_esports
Esports,2014_League_of_Legends_World_Championship
Esports,2014_in_esports
Esports,2015_in_esports
Esports,2016_Summer_Olympics
Esports,2016_in_esports
Esports,2017_League_of_Legends_World_Championship
Esports,2017_Vegas_eRace
Esports,2017_in_esports
Esports,2018_Asian_Games
Esports,2018_Overwatch_League_season
Esports,2018_Winter_Olympics
Esports,2018_in_esports
Esports,2019_Southeast_Asian_Games
Esports,2019_in_esports
Esports,2020-2021_Vendee_Globe
Esports,2020_EuroNASCAR_Esports_Series
Esports,2020_Summer_Olympics
Esports,2020_in_esports
Esports,2021_in_esports
Esports,2022_Asian_Games
Esports,2022_Commonwealth_Games
Esports,2022_in_esports
Esports,2023_in_esports
Esports,2024_Summer_Olympics
Esports,2024_in_esports
Esports,2025_in_esports
Esports,2026_Commonwealth_Games
Esports,343_Industries
Esports,4Kings
Esports,720%C2%B0
Esports,A*mazing
Esports,ABS-CBN_News
Esports,AP_Stylebook
Esports,Acrobatic_Gymnastics_World_Championships
Esports,Action_game
Esports,Activision
Esports,Activision_Blizzard
Esports,Adderall
Esports,Addiction
Esports,Adrenaline
Esports,Advance_and_secure
Esports,Aerobic_Gymnastics_World_Championships
Esports,Aftonbladet
Esports,Amazon_University_Esports
Esports,American_Broadcasting_Company
Esports,Americas
Esports,Anxiety_disorder
Esports,Apex_(tournament)
Esports,Apex_Legends_Global_Series
Esports,Aquabike_World_Championship
Esports,ArXiv_(identifier)
Esports,Arcade_game
Esports,Arcade_video_game
Esports,Armenian_Esports_Federation
Esports,Ars_Technica
Esports,Art_of_Fighting
Esports,Artistic_Billiards_World_Championship
Esports,Artistic_Skating_World_Championships
Esports,Asian_Electronic_Sports_Federation
Esports,Asian_Games
Esports,Asian_Indoor_Games
Esports,Asian_Indoor_and_Martial_Arts_Games
Esports,Associated_Press
Esports,Asteroids_(video_game)
Esports,Atari
Esports,Athletic_scholarship
Esports,Atlanta
Esports,Augmented_reality
Esports,Australian_Football_International_Cup
Esports,Automobile_sport
Esports,BBC
Esports,BLAST_Premier
Esports,BWF_Para-Badminton_World_Championships
Esports,BWF_World_Championships
Esports,Babe_Ruth%27s_called_shot
Esports,Bad_Influence!
Esports,Ball_Hockey_World_Championship
Esports,Bandy_World_Championship
Esports,Bandy_World_Cup
Esports,Bandy_World_Cup_Women
Esports,Bangladesh_Youth_Development_and_Electronic_Sports_Association
Esports,Baseball5_World_Cup
Esports,Basque_Pelota_World_Championships
Esports,Battle.net
Esports,Battle_royale_game
Esports,Be%C5%9Fikta%C5%9F_J.K.
Esports,Beijing_National_Stadium
Esports,Best-of-three
Esports,Betway
Esports,Biathlon_World_Championships
Esports,Bibcode_(identifier)
Esports,Big_Ten_Conference
Esports,Big_Ten_Network
Esports,Billie_Jean_King_Cup
Esports,Billy_Mitchell_(gamer)
Esports,Black-and-white
Esports,Black_market
Esports,Blizzard_Arena
Esports,Blizzard_Entertainment
Esports,Blockbuster_Video
Esports,Bloomberg_Businessweek
Esports,Bloomberg_L.P.
Esports,Bloomberg_News
Esports,Bobby_Kotick
Esports,Bonus_stage
Esports,Boss_(video_games)
Esports,British_Esports
Esports,Broadband_Internet
Esports,Brush_(video_games)
Esports,Burnout_(psychology)
Esports,CBS
Esports,CNN
Esports,COVID-19_pandemic
Esports,California
Esports,Call_of_Duty
Esports,Call_of_Duty_Championship
Esports,Call_of_Duty_League
Esports,Campaign_(gaming)
Esports,Campeonato_Brasileiro_de_League_of_Legends
Esports,Canoe_Sailing_World_Championship
Esports,Capcom_Cup
Esports,Capture_the_flag
Esports,Cardiovascular_disease
Esports,Cassette_tape_recorder
Esports,Casual_games
Esports,Centuri
Esports,Challenge_run
Esports,Championship_Gaming_Series
Esports,Character_class
Esports,Cheating_in_esports
Esports,Cheating_in_online_games
Esports,Chess.com
Esports,Chicago_Tribune
Esports,China
Esports,Chinese_Eight-ball_World_Championship
Esports,Chun-Li
Esports,Clan_(computer_gaming)
Esports,Clan_(video_games)
Esports,Class_1_World_Powerboat_Championship
Esports,Classic_Tetris_World_Championship
Esports,Cloud9
Esports,Cloud9_(esports)
Esports,College_esports_in_the_United_States
Esports,College_sports
Esports,Collision_detection
Esports,Color_commentators
Esports,Color_television
Esports,Columbia_College_(Missouri)
Esports,Combat_sport
Esports,Comeback_(sports)
Esports,Commonwealth_Esports_Championships
Esports,Commonwealth_Games_Federation
Esports,Community_Effort_Orlando
Esports,Competitive_programming
Esports,Computer_hardware
Esports,Computer_software
Esports,Consumer_organization
Esports,Cooperative_video_game
Esports,Counter-Strike
Esports,Counter-Strike_(series)
Esports,Counter-Strike_Major_Championships
Esports,Counter-Strike_in_esports
Esports,Cricket_World_Cup
Esports,Critical_hit
Esports,Cross-platform
Esports,CrossFit_Games
Esports,Cue_sports
Esports,Cutscene
Esports,Cyberathlete_Professional_League
Esports,Daigo_Umehara
Esports,Dan_%22Artosis%22_Stemkoski
Esports,Davis_Cup
Esports,Dead_or_Alive_4
Esports,Deadline_Hollywood
Esports,Deathmatch_(gaming)
Esports,Deathmatch_(video_games)
Esports,Destructible_environment
Esports,Dialogue_tree
Esports,Digital_collectible_card_game
Esports,DirecTV
Esports,Disney
Esports,Dodgeball_World_Championship
Esports,Doi_(identifier)
Esports,Doom_(1993_video_game)
Esports,Doris_Self
Esports,Dorling_Kindersley
Esports,DotA
Esports,Dot_Esports
Esports,Dota
Esports,Dota_2
Esports,Dota_Pro_Circuit
Esports,Double-elimination_tournament
Esports,Draughts_Championship
Esports,Draughts_World_Championship
Esports,DreamHack
Esports,Dreamhack
Esports,E-mail
Esports,E3_2014
Esports,EA_Sports
Esports,EA_Sports_FC
Esports,EFootball.Open
Esports,EGames_(esports)
Esports,ELeague
Esports,ENASCAR_Coca-Cola_iRacing_Series
Esports,ENASCAR_iRacing_Pro_Invitational_Series
Esports,ESEA_League
Esports,ESL_(company)
Esports,ESL_One_Katowice_2015
Esports,ESL_Pro_League
Esports,ESPN
Esports,ESPN2
Esports,ESPN3
Esports,ESPN_The_Magazine
Esports,ESailing_World_Championship
Esports,East_Asia
Esports,Echo_Fox
Esports,Electronic_Entertainment_Expo
Esports,Electronic_Games
Esports,Electronic_Gaming_Monthly
Esports,Electronic_Sports_League
Esports,Electronic_Sports_World_Cup
Esports,Emergent_gameplay
Esports,Enduro_World_Championship
Esports,Energy_drink
Esports,Energy_drinks
Esports,Engadget
Esports,Entertainment_Software_Association
Esports,Entertainment_Software_Association_of_Canada
Esports,Epic_Games
Esports,Esailing_World_Championship
Esports,Esports_Integrity_Commission
Esports,Esports_Nations_Cup
Esports,Esports_World_Convention
Esports,Esports_World_Cup
Esports,Esports_World_Federation
Esports,Esports_at_the_2018_Asian_Games
Esports,Esports_at_the_2019_Southeast_Asian_Games
Esports,Esports_at_the_Asian_Games
Esports,Esports_at_the_Southeast_Asian_Games
Esports,Esports_betting
Esports,Esports_in_the_Philippines
Esports,Esports_in_the_United_Arab_Emirates
Esports,EurekAlert!
Esports,Eurogamer
Esports,Europe
Esports,Evil_Geniuses
Esports,Evo_Moment_37
Esports,Evolution_Championship_Series
Esports,Evolution_Championship_Series_2004
Esports,Exhibition_game
Esports,Experience_point
Esports,FAI_World_Aerobatic_Championships
Esports,FAI_World_Grand_Prix
Esports,FC_Schalke_04
Esports,FEI_World_Equestrian_Games
Esports,FIA_International_Hill_Climb_Cup
Esports,FIA_World_Baja_Cup
Esports,FIA_World_Endurance_Championship
Esports,FIA_World_Rallycross_Championship
Esports,FIBA_3x3_World_Cup
Esports,FIBA_Basketball_World_Cup
Esports,FIBA_Intercontinental_Cup
Esports,FIBA_Women%27s_Basketball_World_Cup
Esports,FIFA
Esports,FIFA_(video_game_series)
Esports,FIFA_Beach_Soccer_World_Cup
Esports,FIFA_Club_World_Cup
Esports,FIFA_Futsal_Women%27s_World_Cup
Esports,FIFA_Futsal_World_Cup
Esports,FIFA_Women%27s_Club_World_Cup
Esports,FIFA_Women%27s_World_Cup
Esports,FIFA_World_Cup
Esports,FIFAe_Nations_Cup
Esports,FIFAe_World_Cup
Esports,FIL_World_Luge_Championships
Esports,FIL_World_Luge_Natural_Track_Championships
Esports,FIM_Bajas_World_Cup
Esports,FIM_E-Bike_Cross_World_Cup
Esports,FIM_Endurance_World_Championship
Esports,FIM_Flat_Track_World_Championship
Esports,FIM_Hard_Enduro_World_Championship
Esports,FIM_Long_Track_World_Championship
Esports,FIM_Long_Track_of_Nations
Esports,FIM_Sand_Races_World_Championship
Esports,FIM_Snowcross_World_Championship
Esports,FIM_SuperEnduro_World_Championship
Esports,FIM_Supercross_World_Championship
Esports,FIM_Supermoto_World_Championship
Esports,FIM_Trial_World_Championship
Esports,FIM_Women%27s_Circuit_Racing_World_Championship
Esports,FIM_Women%27s_Motocross_World_Championship
Esports,FIRS_Inline_Hockey_World_Championships
Esports,FIS_Alpine_World_Ski_Championships
Esports,FIS_Freestyle_World_Ski_Championships
Esports,FIS_Nordic_World_Ski_Championships
Esports,FIS_Ski_Flying_World_Championships
Esports,FIS_Snowboard_World_Championships
Esports,FIS_Speed_World_Ski_Championships
Esports,FIVB_Beach_Volleyball_World_Championships
Esports,FIVB_Men%27s_Volleyball_Club_World_Championship
Esports,FIVB_Men%27s_Volleyball_World_Championship
Esports,FIVB_Women%27s_Volleyball_Club_World_Championship
Esports,FIVB_Women%27s_Volleyball_World_Championship
Esports,FUN_Technologies
Esports,FaZe_Clan
Esports,Faceit
Esports,Fan_convention
Esports,Fantasy_sport
Esports,Fast_travel
Esports,Fatal_Fury
Esports,Fatigue
Esports,Federal_Wire_Act
Esports,Fenerbah%C3%A7e_S.K.
Esports,Fighting_game
Esports,Fighting_game_community
Esports,Finswimming_World_Championships
Esports,First-person_shooter
Esports,First_Class_(game_show)
Esports,First_Stand
Esports,Fnatic
Esports,Forbes
Esports,Formula_1_Powerboat_World_Championship
Esports,Formula_4S_Powerboat_World_Championship
Esports,Formula_E
Esports,Formula_One
Esports,Formula_One_Esports_Series
Esports,Fortnite
Esports,Fortnite_Battle_Royale
Esports,Fortnite_Championship_Series
Esports,Fortnite_World_Cup
Esports,Fortune_(magazine)
Esports,Forward_head_posture
Esports,Frag_Dolls
Esports,Frontiers_in_Psychology
Esports,Froskurinn
Esports,G2_Esports
Esports,G4_(U.S._TV_channel)
Esports,G7_Teams
Esports,G7_teams
Esports,GIGA_Television
Esports,GT_racing
Esports,Galatasaray_S.K.
Esports,Gambling_in_Japan
Esports,Gambling_industry
Esports,GamePro
Esports,GameSetWatch
Esports,GameSpot
Esports,Game_One
Esports,Game_mechanics
Esports,Game_over
Esports,Game_server
Esports,Gamer
Esports,GamesIndustry.biz
Esports,GamesMaster
Esports,Games_and_Amusements_Board
Esports,Geguri
Esports,Genesis_(tournament)
Esports,German_Sport_University_Cologne
Esports,Global_Association_of_International_Sports_Federations
Esports,Global_Esports_Federation
Esports,Global_News
Esports,Global_StarCraft_II_League
Esports,Glossary_of_video_game_terms
Esports,Goalball_World_Championships
Esports,Golden_age_of_arcade_video_games
Esports,Gran_Turismo_(series)
Esports,Gran_Turismo_World_Series
Esports,Grand_Prix_motorcycle_racing
Esports,Greece
Esports,Greg_%22Idra%22_Fields
Esports,Gremlin_Industries
Esports,Guinness_World_Records
Esports,Gun_Game
Esports,Gymnastics_World_Championships
Esports,HUD_(video_gaming)
Esports,Halo_(series)
Esports,Halo_Championship_Series
Esports,Hangzhou
Esports,Harrisburg_University_of_Science_and_Technology
Esports,Hdl_(identifier)
Esports,Health_(game_terminology)
Esports,Health_(gaming)
Esports,Hearthstone_(video_game)
Esports,Hearthstone_in_esports
Esports,Heisman_Trophy
Esports,Heliyon
Esports,Heroes_of_the_Storm
Esports,High_score
Esports,History_of_online_games
Esports,Honor_of_Kings
Esports,House_of_Representatives_(Japan)
Esports,Hyper_Sports
Esports,IAU_100_km_World_Championships
Esports,IAU_Trail_World_Championships
Esports,IBA_Women%27s_World_Boxing_Championships
Esports,IBA_World_Boxing_Championships
Esports,IBSF_World_Billiards_Championship
Esports,IBSF_World_Championships_(bobsleigh_and_skeleton)
Esports,IBSF_World_Snooker_Championship
Esports,ICF_Canoe_Freestyle_World_Championships
Esports,ICF_Canoe_Marathon_World_Championships
Esports,ICF_Canoe_Ocean_Racing_World_Championships
Esports,ICF_Canoe_Polo_World_Championships
Esports,ICF_Canoe_Slalom_World_Championships
Esports,ICF_Canoe_Sprint_World_Championships
Esports,ICF_Stand_Up_Paddling_World_Championships
Esports,IFAF_Flag_Football_World_Championship
Esports,IFAF_Women%27s_World_Championship
Esports,IFAF_World_Championship
Esports,IFMA_World_Muaythai_Championships
Esports,IFSC_Climbing_World_Championships
Esports,IFSC_Paraclimbing_World_Championships
Esports,IGN
Esports,IHF_Beach_Handball_World_Championships
Esports,IHF_Wheelchair_Handball_World_Championship
Esports,IHF_World_Men%27s_Handball_Championship
Esports,IHF_World_Women%27s_Handball_Championship
Esports,IIHF_Women%27s_World_Championship
Esports,IKF_World_Korfball_Championship
Esports,IPF_Powerlifting_World_Championships
Esports,IPSC_Handgun_World_Shoots
Esports,IPSC_Rifle_World_Shoots
Esports,IPSC_Shotgun_World_Shoots
Esports,IQA_World_Cup
Esports,ISAF_Offshore_Team_Racing_World_Championship
Esports,ISAF_Team_Racing_World_Championship
Esports,ISA_World_SUP_and_Paddleboard_Championship
Esports,ISBN_(identifier)
Esports,ISSF_World_Shooting_Championships
Esports,ISSN_(identifier)
Esports,ISTAF_World_Cup
Esports,ISU_World_Synchronized_Skating_Championships
Esports,Ice_Hockey_World_Championships
