page_name,categories
%C3%81lvaro_R%C3%ADos_Poveda,"{'Biomedical engineers', 'Pontificia Universidad Javeriana alumni', 'Living people', 'Colombian engineers', '1974 births', 'Bionics', 'Prosthetics', 'People from Cali'}"
3D_computer_graphics,"{'Visual effects', '3D computer graphics', '3D graphics software', '3D imaging', 'Science fiction themes', 'Computer graphics'}"
4seven,"{'2012 establishments in the United Kingdom', 'Television channels in the United Kingdom', 'Channel 4 television channels', 'Television channels and stations established in 2012'}"
AOL,"{'Pre–World Wide Web online services', '1983 establishments in the United States', 'Announced mergers and acquisitions', 'Web portals', 'Telecommunications companies established in 2009', 'Internet properties established in 1983', 'Telecommunications companies established in 1983', 'Internet services supporting OpenID', 'Companies based in New York City', 'Companies based in Dulles, Virginia', 'Internet service providers of the United States', 'Companies formerly listed on the New York Stock Exchange', 'Web service providers', 'AOL', 'Verizon acquisitions', '2001 mergers and acquisitions', 'Internet properties established in 2009', '2015 mergers and acquisitions', 'Companies in the PRISM network', 'Former Time Warner subsidiaries', 'Yahoo!'}"
Abraham_Lincoln,"{'People associated with the assassination of Abraham Lincoln', '1865 deaths', 'Republican Party (United States) presidential nominees', '1809 births', 'Lincoln family', 'Illinois postmasters', 'Deaths by firearm in Washington, D.C.', 'Politicians from Springfield, Illinois', 'American military personnel of the Indian Wars', 'Assassinated presidents of the United States', 'People murdered in Washington, D.C.', 'Union (American Civil War) political leaders', '19th-century members of the Illinois General Assembly', 'National presidents assassinated in the 19th century', 'People from LaRue County, Kentucky', 'Illinois Republicans', 'People from Spencer County, Indiana', 'Illinois lawyers', 'Candidates in the 1860 United States presidential election', 'Hall of Fame for Great Americans inductees', 'People from Macon County, Illinois', 'Abraham Lincoln', 'People of Illinois in the American Civil War', 'American surveyors', 'American lawyers admitted to the practice of law by reading law', 'Candidates in the 1864 United States presidential election', 'People murdered in 1865', 'Whig Party members of the United States House of Representatives from Illinois', 'Aphorists', '19th-century United States representatives', 'Politicians assassinated in the 1860s', 'Harrison family (Virginia)', 'Republican Party presidents of the United States', 'Presidents of the United States', 'Assassinated American civil rights activists', 'American nationalists', 'Burials at Oak Ridge Cemetery', 'Politicians killed in the American Civil War', 'American people of English descent', '19th-century presidents of the United States', 'American militia officers', 'Members of the Illinois House of Representatives', 'Activists for African-American civil rights'}"
Absolute_Radio_Network,"{'British radio networks', 'Digital-only radio stations', 'Virgin Radio (UK)', 'Absolute Radio', 'Bauer Group (UK)'}"
Adventure_game,"{'Video game genres', 'Adventure games'}"
Afghanistan,"{'Islamic states', 'Countries in Asia', 'Central Asian countries', 'Least developed countries', 'Member states of the United Nations', 'Totalitarian states', '1709 establishments in Asia', 'Countries and territories where Persian is an official language', 'Member states of the South Asian Association for Regional Cooperation', 'Countries and territories where Pashto is an official language', 'Member states of the Organisation of Islamic Cooperation', 'Theocracies', 'States and territories established in 1709', 'Afghanistan', 'Iranian plateau', 'Landlocked countries', 'South Asian countries', 'Emirates'}"
Al_Jazeera_Media_Network,"{'Publicly funded broadcasters', 'Companies based in Doha', '1996 establishments in Qatar', 'Mass media in Doha', 'Arab mass media', 'Multinational companies', 'Al Jazeera', 'Mass media established in the 20th century', 'Media funded by Qatar', 'Conglomerate companies of Qatar', 'Television in Qatar', 'Podcasting companies'}"
Alec_Muffett,"{'British software engineers', 'Sun Microsystems people', 'Computer security specialists', 'Living people', 'InfoSec Twitter', 'Alumni of University College London', 'American software engineers', '1968 births'}"
