Source,Target
John_Lennon,(Just_Like)_Starting_Over
John_Lennon,100_Greatest_Britons
John_Lennon,10_Admiral_Grove
John_Lennon,16_mm_film
John_Lennon,1965_Birthday_Honours
John_Lennon,1972_Republican_National_Convention
John_Lennon,1989_(album)
John_Lennon,20_Feet_from_Stardom
John_Lennon,21_(Adele_album)
John_Lennon,24K_Magic_(album)
John_Lennon,251_Menlove_Avenue
John_Lennon,25_(Adele_album)
John_Lennon,"34_Montagu_Square,_Marylebone"
John_Lennon,4147_Lennon
John_Lennon,72nd_Street_(Manhattan)
John_Lennon,A._R._Rahman
John_Lennon,ABKCO_Records
John_Lennon,A_Spaniard_in_the_Works
John_Lennon,A_Story
John_Lennon,A_Toot_and_a_Snore_in_%2774
John_Lennon,A_Whole_New_World
John_Lennon,A_World_Without_Love
John_Lennon,Abbey_Road
John_Lennon,Abbey_Road_Studios
John_Lennon,Academy_Award_for_Best_Original_Score
John_Lennon,Acorn_(book)
John_Lennon,Acoustic_(John_Lennon_album)
John_Lennon,Ad_Lib_Club
John_Lennon,Adele
John_Lennon,Adolph_Deutsch
John_Lennon,Ain%27t_That_a_Shame
John_Lennon,Al_Green
John_Lennon,Al_Jardine
John_Lennon,Aladdin_(1992_soundtrack)
John_Lennon,Alan_Price
John_Lennon,Alan_and_Marilyn_Bergman
John_Lennon,Alanis_Morissette
John_Lennon,Aleatory
John_Lennon,Alexandre_Desplat
John_Lennon,Alexis_Petridis
John_Lennon,Alfred_Newman
John_Lennon,Alistair_Taylor
John_Lennon,AllMusic_(identifier)
John_Lennon,All_Those_Years_Ago
John_Lennon,All_Together_Now_(2008_film)
John_Lennon,All_You_Need_Is_Love
John_Lennon,Allan_Williams
John_Lennon,Allee_Willis
John_Lennon,Allen_Klein
John_Lennon,Always_on_My_Mind
John_Lennon,American_Civil_Liberties_Union
John_Lennon,American_Masters
John_Lennon,Amy_Wadge
John_Lennon,Amy_Winehouse
John_Lennon,Anatomy_of_a_Murder
John_Lennon,Anderson_.Paak
John_Lennon,Andr%C3%A9_Previn
John_Lennon,Andr%C3%A9s_Segovia
John_Lennon,Andrew_Dost
John_Lennon,Angel_(Yoko_Ono_song)
John_Lennon,Anglican
John_Lennon,Anne_Dudley
John_Lennon,Annie_Lennox
John_Lennon,Anthony_Cox_(producer)
John_Lennon,Anti-war_movement
John_Lennon,Antonio_S%C3%A1nchez_(drummer)
John_Lennon,Apotheosis_(film)
John_Lennon,Apple_Corps_v_Apple_Computer
John_Lennon,Armando_Manzanero
John_Lennon,Around_the_Beatles
John_Lennon,Art_Blakey
John_Lennon,Art_Tatum
John_Lennon,Arthur_Jenkins_(musician)
John_Lennon,Arthur_Rubinstein
John_Lennon,Artie_Shaw
John_Lennon,Artists_Against_Fracking
John_Lennon,Arturo_Toscanini
John_Lennon,Ashram
John_Lennon,Associated_TeleVision
John_Lennon,Atticus_Ross
John_Lennon,Automatic_double_tracking
John_Lennon,Avant-garde
John_Lennon,Avant-garde_music
John_Lennon,B._B._King
John_Lennon,BBC_News
John_Lennon,Babel_(Mumford_%26_Sons_album)
John_Lennon,"Baby,_You%27re_a_Rich_Man"
John_Lennon,Back_in_the_U.S.S.R.
John_Lennon,Back_on_the_Block
John_Lennon,Backbeat_(film)
John_Lennon,Bagism
John_Lennon,Barbra_Streisand
John_Lennon,Barry_Miles
John_Lennon,Beatle_boot
John_Lennon,Beatlemania
John_Lennon,Beatlemania_in_the_United_Kingdom
John_Lennon,Beatles-Platz
John_Lennon,Beatles_%2764
John_Lennon,Beatlesque
John_Lennon,Beautiful_Boy_(Darling_Boy)
John_Lennon,Beautiful_Boys
John_Lennon,Beauty_and_the_Beast_(1991_soundtrack)
John_Lennon,Because_(The_Dave_Clark_Five_song)
John_Lennon,Beck
John_Lennon,Benny_Carter
John_Lennon,Bermuda
John_Lennon,Between_My_Head_and_the_Sky
John_Lennon,Beverly_Hills_Cop_(soundtrack)
