page_name,categories
Chris_Daughtry,"{'Songwriters from North Carolina', '21st-century American male singers', 'American comics artists', 'American male television actors', 'American rock musicians', '21st-century Christians', '20th-century American singers', 'Christians from North Carolina', 'People from Palmyra, Virginia', '1979 births', 'Musicians from Greensboro, North Carolina', 'RCA Records artists', '20th-century American male singers', 'Living people', 'American Idol participants', 'American Christians', '21st-century American singers', 'American male film actors'}"
Katy_Perry,"{'1984 births', 'American television actresses', 'American dance-pop musicians', 'American film actresses', 'Def Jam Recordings artists', 'Brit Award winners', 'UNICEF goodwill ambassadors', 'Juno Award for International Album of the Year winners', 'Judges in American reality television series', 'MTV Video Music Award winners', 'American women rock singers', 'American rock guitarists', 'American women singer-songwriters', 'Musicians from Santa Barbara, California', 'MTV Europe Music Award winners', 'American voice actresses', 'American women pop singers', 'American women in electronic music', 'People who have flown in suborbital spaceflight', 'Katy Perry', '21st-century American women singers', 'American contraltos', 'American rock songwriters', 'Columbia Records artists', 'Living people', '21st-century American actresses', 'Capitol Records artists', '21st-century American songwriters', 'American pop guitarists', 'American feminist musicians', 'New Shepard spaceflight participants', 'Guitarists from California', 'Sexually fluid women', 'Activists from California', 'LGBTQ rights activists from California', 'Island Records artists', 'Singer-songwriters from California', '21st-century American women guitarists'}"
Liv_Tyler,"{'American people of Polish descent', 'American child actresses', 'People with attention deficit hyperactivity disorder', 'American film actresses', 'UNICEF goodwill ambassadors', 'Todd Rundgren', 'Female models from New York (state)', 'American people of English descent', 'Actresses from Portland, Maine', 'Outstanding Performance by a Cast in a Motion Picture Screen Actors Guild Award winners', 'American people of Ukrainian descent', '1977 births', 'Crossroads School alumni', 'Actresses from Manhattan', 'American people of Italian descent', 'American people of German descent', 'Models from New York City', 'Living people', '21st-century American actresses', 'American female models', 'Waynflete School alumni', 'American people of African descent', '20th-century American actresses', 'American child models', 'American expatriates in England', 'American people of Calabrian descent', 'People from Greenwich Village'}"
Magnus_Carlsen,"{'Norwegian poker players', 'People from Tønsberg Municipality', 'Sportspeople from Bærum', 'Chess Grandmasters', 'Chess Olympiad competitors', 'Norwegian male models', '1990 births', 'World chess champions', 'Magnus Carlsen', 'Sportspeople from Tønsberg', 'Living people', 'Norwegian chess players'}"
Noah_Cyrus,"{'American television actresses', '2000 births', 'Actresses from Nashville, Tennessee', 'American child actresses', 'American child singers', 'Syco Music artists', '21st-century American women singers', 'Columbia Records artists', 'Walt Disney Records artists', 'American voice actresses', 'RCA Records artists', 'Brighton Hall School alumni', 'Living people', '21st-century American actresses', 'Cyrus family', '21st-century American singers', 'Singers from Nashville, Tennessee'}"
Ryan_Murphy_(producer),"{'21st-century American LGBTQ people', 'American Roman Catholic writers', 'Carol Burnett Award Golden Globe winners', 'Television producers from Indiana', 'Indiana University Bloomington alumni', 'LGBTQ people from Indiana', 'Gay screenwriters', 'American soap opera writers', 'American LGBTQ screenwriters', '20th-century American LGBTQ people', 'LGBTQ television producers', 'LGBTQ Roman Catholics', 'Film directors from Indiana', 'American showrunners', 'American gay writers', 'Catholics from Indiana', 'American television writers', 'American LGBTQ film directors', 'Tony Award winners', '21st-century American male writers', 'American male screenwriters', 'Screenwriters from Indiana', 'American television directors', 'American male television writers', '20th-century American male writers', 'Living people', 'Golden Globe Award–winning producers', 'Writers from Indianapolis', 'Film producers from Indiana', 'Primetime Emmy Award winners', 'American people of Irish descent', 'American television show creators', '1965 births', 'LGBTQ television directors'}"
Simon_Cowell,"{'Participants in American reality television series', '1959 births', 'Film producers from London', '21st-century English memoirists', 'International Emmy Founders Award winners', 'Judges in American reality television series', 'British television show creators', 'English music managers', 'Contestants on British game shows', 'Businesspeople from the London Borough of Lambeth', 'Publishers (people) from London', 'People from Elstree', 'English music publishers (people)', '20th-century English businesspeople', 'People educated at Dover College', 'English people of Polish-Jewish descent', 'British mass media company founders', 'Philanthropists from London', 'Television personalities from the London Borough of Lambeth', 'People named in the Panama Papers', 'People with mood disorders', 'People educated at LVS Ascot', 'British music industry executives', 'Living people', 'English racehorse owners and breeders', 'Television personalities from Hertfordshire', 'English expatriates in the United States', 'Television producers from London', '21st-century English businesspeople', 'English record producers', 'A&R people'}"
Simon_Fuller,"{'People from Hastings', 'British television show creators', 'British television producers', '1960 births', 'People educated at Hastings Grammar School', 'S Club 7', 'Now United', 'Spice Girls', 'Inter Miami CF non-playing staff', 'British music managers', 'Living people', 'A&R people'}"
Steven_Tyler,"{'American people of Polish descent', 'Musicians from the New York metropolitan area', 'Aerosmith members', 'American blues rock musicians', 'American tenors', 'Actors from the New York metropolitan area', 'Male actors from Boston', '20th-century American singer-songwriters', '21st-century American singer-songwriters', 'Singers from Boston', 'Singer-songwriters from New York (state)', 'American people of English descent', 'Judges in American reality television series', '20th-century American male actors', '21st-century American male singers', 'New York (state) Republicans', 'American people of Ukrainian descent', 'American male singer-songwriters', 'Musicians from Manhattan', '20th-century American male singers', 'Hard rock singers', 'Musicians from Yonkers, New York', 'American country singer-songwriters', 'American rock songwriters', 'American people of Italian descent', 'People from Sunapee, New Hampshire', '1948 births', 'American people of German descent', 'Living people', 'Singer-songwriters from Massachusetts', '21st-century American male actors', 'APRA Award winners', 'Male actors from New York (state)', 'Glam metal musicians', 'American country rock singers', 'American heavy metal singers', 'Kings of Chaos (band) members', 'American harmonica players', 'Berklee College of Music alumni', 'American people of African descent', 'American Idol participants'}"
The_Weeknd,"{'Canadian contemporary R&B singers', 'Canadian dance musicians', 'Canadian male voice actors', 'People with attention deficit hyperactivity disorder', '21st-century Canadian male writers', 'Republic Records artists', 'Juno Award for Artist of the Year winners', 'Latin Grammy Award winners', '21st-century Canadian keyboardists', 'Musicians from Scarborough, Ontario', 'Brit Award winners', 'Alternative R&B musicians', 'Canadian people of Ethiopian descent', 'French-language singers of Canada', 'MTV Video Music Award winners', 'Canadian tenors', '21st-century Canadian male singers', 'Canadian performance artists', 'Singers from Toronto', '1990 births', '21st-century Canadian singer-songwriters', '21st-century Canadian screenwriters', 'Juno Award for Single of the Year winners', 'Canadian pop singers', 'Grammy Award winners', '21st-century Canadian male actors', 'Canadian hip-hop singers', 'Singers with a three-octave vocal range', 'Canadian male singer-songwriters', 'Juno Award for Album of the Year winners', 'XO (record label) artists', 'Amharic-language singers', 'Black Canadian male actors', 'Canadian philanthropists', 'Canadian hip-hop record producers', '21st-century Black Canadian male singers', 'Living people', 'Juno Award for Breakthrough Artist of the Year winners', 'Juno Award for R&B/Soul Recording of the Year winners', 'Canadian television actors', 'Black Canadian filmmakers', 'Black Lives Matter people', 'Male actors from Toronto', 'Canadian television writers', 'Canadian new wave musicians', 'Juno Award for Songwriter of the Year winners', 'Canadian music video directors', 'Male pop singers', 'The Weeknd'}"
