page_name,categories
Call_of_the_Night,"{'2020s Japanese LGBTQ-related television series', 'Shogakukan manga', '2025 manga', 'Viz Media manga', 'Winners of the Shogakukan Manga Award for shōnen manga', 'Sentai Filmworks', 'Call of the Night', 'Noitamina', '2019 manga', '2022 anime television series debuts', 'Lesbian-related television shows', 'Supernatural anime and manga', 'Television shows about suicide', 'Vampires in anime and manga', 'LGBTQ speculative fiction television series', 'Shōnen manga', 'Liden Films', 'Manga series', 'Romantic comedy anime and manga', 'Bisexuality-related television series', 'Anime series based on manga'}"
Children%27s_television_series,"{'Television by interest', ""Children's television series"", ""Children's television"", 'Television genres'}"
Disney%27s_Halloween_Treat,"{'Halloween television episodes', 'Walt Disney anthology television series episodes', '1982 American television episodes', 'American collage films', 'Collage television', 'Halloween television specials', '1980s American television specials', 'Films scored by Paul Smith (composer)', 'Films scored by John Debney', 'CBS television specials', '1982 television specials'}"
Five_Nights_at_Freddy%27s_(film),"{'English-language horror films', 'Films set in 1987', 'American supernatural horror films', 'Films about child abduction in the United States', '2020s supernatural horror films', 'American robot films', 'Films scored by the Newton Brothers', 'Films set in abandoned buildings and structures', ""Five Nights at Freddy's"", 'Universal Pictures films', '2023 horror films', 'Films set in 2000', 'American serial killer films', 'Films directed by Emma Tammi', '2020s American films', 'Live-action films based on video games', 'Films produced by Jason Blum', 'Films set in restaurants', '2020s monster movies', '2020s English-language films', 'Blumhouse Productions films', 'Films set in Nebraska', 'Films shot in New Orleans', 'Films about murder', 'Films about security and surveillance', 'American ghost films', '2023 films', 'Films about siblings'}"
Freddy_Rodriguez_(actor),"{'American male voice actors', 'American male television actors', 'Living people', '1975 births', 'American actors of Puerto Rican descent', 'American male film actors', '21st-century American male actors', '20th-century American male actors'}"
Gotham_season_5,"{'2019 American television seasons', 'Gotham (TV series) seasons'}"
Mickey%27s_House_of_Villains,"{'Films directed by Tony Craig (director)', 'Animated films based on animated series', 'Films directed by Bobs Gannaway', 'House of Mouse', 'Films with screenplays by Henry Gilroy', '2000s English-language films', 'American supernatural horror films', ""American children's animated fantasy films"", 'Mickey Mouse films', ""American children's animated comedy films"", 'Animated films about talking animals', 'Goofy (Disney) films', 'Animated anthology films', 'Donald Duck films', 'Films with screenplays by Jymn Magon', ""2002 children's films"", 'English-language comedy horror films', 'Films directed by Jamie Mitchell (director)', '2002 films', '2002 comedy horror films', 'Animated films about Halloween', ""2000s children's animated films"", '2002 American animated films', ""2000s children's fantasy films"", 'American films about Halloween', 'Films scored by Michael Tavera', 'Disney Television Animation films', 'Animated films about mice', ""2000s children's comedy films"", 'American animated horror films', 'Films based on television series', 'Animated crossover films', 'Films directed by Rick Calabash', 'American sequel films', ""Children's horror films"", 'Disney direct-to-video animated films', '2002 American animated direct-to-video films'}"
Mickey%27s_Not-So-Scary_Halloween_Party,"{'Mickey Mouse', 'Hocus Pocus', 'Operating amusement attractions', 'Magic Kingdom', 'Amusement rides introduced in 2008', 'Halloween events in the United States', 'Walt Disney Parks and Resorts parades', 'Amusement rides introduced in 1995', 'Events at Walt Disney World'}"
Minecraft,"{'Video games using procedural generation', 'Xbox Series X and Series S games', 'Wii U games', 'Video games adapted into films', 'Video games scored by Gareth Coker', 'IOS games', 'Video games adapted into comics', 'Video games scored by Lena Raine', 'Video games with cross-platform play', 'Video games with user-generated gameplay content', 'BAFTA winners (video games)', 'PlayStation 3 games', 'Java platform games', 'Xbox One X enhanced games', 'Windows games', 'Open-world video games', 'Nintendo Switch games', 'Video games with customizable avatars', 'MacOS games', 'Other Ocean Interactive games', 'PlayStation Network games', 'Video games developed in Sweden', 'Xbox 360 games', 'Android (operating system) games', 'Xbox 360 Live Arcade games', 'Indie games', 'Windows Phone games', 'Nintendo Network games', 'PlayStation 5 games', 'Golden Joystick Award winners', 'Survival video games', 'Video games scored by Kumi Tanioka', 'Virtual world communities', 'Early access video games', 'Nintendo 3DS eShop games', 'Xbox One games', 'Construction and management simulation games', '2020s fads and trends', 'World Video Game Hall of Fame', 'Seumas McNally Grand Prize winners', 'Minecraft', 'Virtual reality games', 'Educational video games', 'Retro-style video games', 'New Nintendo 3DS games', 'Linux games', 'PlayStation 4 Pro enhanced games', 'Sandbox games', 'Video games designed by Markus Persson', 'PlayStation 4 games', 'Microsoft games', 'Spike Video Game Award winners', 'Streamer Award winners', 'Video games with voxel graphics', '2010s fads and trends', '4J Studios games', 'Independent Games Festival winners', 'PlayStation Vita games', '2011 video games', 'Multiplayer and single-player video games', 'Wii U eShop games'}"
Monster_Strike_The_Movie,"{'2016 anime films', 'Liden Films', 'Anime films based on video games', 'Anime film stubs', '2010s adventure film stubs', 'Action adventure film stubs', 'Adventure anime and manga', '2016 films', 'Japanese animated adventure films', '2016 action adventure films', 'Japanese action adventure films', 'Warner Bros. films', 'Ultra Super Pictures', 'Animated action films', 'Action anime and manga'}"
