page_name,categories
Accompaniment,"{'Rhythm section', 'Accompaniment'}"
Acousmatic,"{'Music technology', 'Electronic music', 'Cinematic techniques'}"
Acrobatics,"{'Circus skills', 'Performing arts', 'Acrobatic sports'}"
Acta_Musicologica,"{'Music journals', 'English-language journals', 'Academic journals established in 1928'}"
Adeste_Fideles,"{'Jacobite songs', 'Christmas carols', 'Hymns in The English Hymnal', 'Songs about Jesus', 'English Christian hymns', 'Catholic music', '18th-century hymns in Latin', 'Hymn tunes', 'Hymns in The New English Hymnal', 'Charles Edward Stuart', 'Christmas carols in Latin'}"
Aesthetics,{'Aesthetics'}
Aesthetics_of_music,"{'Applied aesthetics', 'Philosophy of music'}"
Aleatoric_music,"{'Postmodern music', 'Music theory', 'Experimental music', '20th century in music'}"
Alfred_Mann_(musicologist),"{'2006 deaths', 'Emigrants from Nazi Germany to the United States', '20th-century American musicologists', 'Academics from Hamburg', '1917 births', 'Prussian Academy of Arts alumni', 'Immigrants to Italy'}"
All-female_band,"{'Women in music', 'All-female bands', 'Types of musical groups'}"
Ancient_Greece,{'Ancient Greece'}
Andalusi_classical_music,"{'Music of North Africa', 'Maqam-based music tradition', 'Music of Algeria', 'Music of Libya', 'Moroccan styles of music', 'Music of al-Andalus', 'Algerian styles of music', 'Classical and art music traditions'}"
Anthony_D._Williams_(author),"{'Canadian technology writers', 'Living people', 'Canadian non-fiction writer stubs', 'Alumni of the London School of Economics', '1974 births'}"
Antonio_Vivaldi,"{'1678 births', 'Italian classical violinists', 'Antonio Vivaldi', 'Italian male classical violinists', 'Catholic liturgical composers', '1741 deaths', 'Musicians from Venice', 'Composers for violin', 'Italian classical cellists', 'Italian classical composers of church music', '18th-century Italian composers', 'Oratorio composers', 'Italian impresarios', 'Italian opera composers', 'Clergy from the Republic of Venice', 'Composers for flute', '18th-century Italian Roman Catholic priests', 'Italian male opera composers', 'Italian expatriates in Austria', 'Composers for cello', 'Composers for bassoon', '18th-century Italian male musicians', 'Italian Baroque composers'}"
Aristoxenus,"{'Ancient Greek ethicists', 'Metic philosophers in Classical Athens', 'Ancient Tarantines', 'Pythagoreans of Magna Graecia', 'Ancient Greek musicologists', 'Philosophers of music', 'Ancient Greek biographers', 'Natural philosophers', 'Ancient Greek music theorists', '4th-century BC Greek philosophers', 'Ancient Greek philosophers of art', 'Peripatetic philosophers', 'Philosophers of Magna Graecia'}"
Artificial_intelligence,"{'Formal sciences', 'Data science', 'Intelligence by type', 'Artificial intelligence', 'Computational fields of study', 'Cybernetics', 'Computational neuroscience'}"
Asha_Bhosle,"{'Indian women playback singers', 'Best Female Playback Singer National Film Award winners', 'Marathi-language singers', 'Indian women guitarists', 'Mangeshkar family', 'People from Sangli', 'English-language singers from India', 'Singers from Mumbai', '20th-century Indian singers', '1933 births', 'Hindi-language singers', 'Tamil-language singers', 'Indian guitarists', 'Konkani-language singers', 'Bengali-language singers', 'Nepali-language singers from India', 'International Indian Film Academy Awards winners', 'Screen Awards winners', 'Marathi people', 'Recipients of the Padma Vibhushan in arts', 'Filmfare Awards winners', 'Marathi playback singers', 'Living people', 'Gujarati-language singers', '21st-century Indian women singers', 'Russian-language singers of India', '21st-century Indian singers', 'Bollywood playback singers', 'World record holders', 'Dadasaheb Phalke Award recipients', 'Singers from Maharashtra', 'Filmfare Lifetime Achievement Award winners', 'Tamil playback singers', 'Zee Cine Awards winners', 'Kannada playback singers', 'Women musicians from Maharashtra', '20th-century Indian women singers'}"
Audio_engineer,"{'Audio engineers', 'Audio electronics', 'Music production', 'Occupations in music', 'Broadcasting occupations', 'Filmmaking occupations', 'Audio engineering', 'Mass media occupations'}"
Aurignacian,"{'Early European modern humans', 'Industries (archaeology)', 'Peopling of Europe', 'Upper Paleolithic cultures of Europe', 'Aurignacian'}"
Bach_cello_suites,"{'Suites by Johann Sebastian Bach', '1710s works', 'Pablo Casals', 'Solo cello pieces', '1720s works'}"
Bachelor_of_Music,"{'Humanities education', ""Bachelor's degrees"", 'Performing arts education', 'Music degrees'}"
Backbeat,"{'Percussion performance techniques', 'Rhythm and meter', 'Popular music', 'Temporal rates'}"
Backing_tracks,"{'Sound recording', 'Music production', 'Music performance', 'Music controversies', 'Karaoke', 'Musical terminology'}"
Backing_vocalist,"{'Singing', 'Temporary employment', 'Occupations in music', 'Accompaniment', 'Musical terminology'}"
Bagatelle_(music),"{'Bagatelles (music)', 'Classical music styles'}"
Bali,"{'Hinduism in Indonesia', '1958 establishments in Indonesia', 'Bali', 'Islands of Indonesia', 'Provinces of Indonesia', 'States and territories established in 1958', 'Populated places in Indonesia', 'Former kingdoms', 'Lesser Sunda Islands'}"
Balkan_music,"{'Balkan music', 'Music of Europe'}"
Ballet,"{'Ballet', 'History of ballet'}"
Band_(rock_and_pop),"{'Rock music', 'Accompaniment', 'Popular music', 'Types of musical groups'}"
Baroque_music,"{'Age of Enlightenment', 'Baroque music'}"
Basic_Books,"{'Publishing companies established in 1950', 'Book publishing companies based in New York City', '1950 establishments in New York City', 'American companies established in 1950'}"
Bass_drum,"{'Concert band instruments', 'Drum kit components', 'Battle drums', 'Foot percussion', 'Bass (sound)', 'Orchestral percussion instruments', 'Musical instruments played with soft mallets', 'Unpitched percussion instruments', 'Directly struck membranophones'}"
Bassline,"{'Rhythm section', 'Musical composition', 'Accompaniment', 'Bass (sound)'}"
