page_name,categories
Ancient_Roman_architecture,"{'Culture of ancient Rome', 'Ancient Roman architecture', 'Architectural history'}"
Autocracy,"{'Authority', 'Authoritarianism', 'Dictatorship', 'Autocracy'}"
Boethius,"{'6th-century Christian theologians', 'Manlii', 'Magistri officiorum', 'Executed writers', '6th-century writers in Latin', '6th-century Italian writers', 'Ancient Roman rhetoricians', '6th-century western Roman consuls', '6th-century Christian saints', 'Ancient Roman philosophers', 'Italian logicians', 'Anicii', '524 deaths', '6th-century philosophers', 'Music theorists', 'Executed philosophers', 'Last of the Romans', 'Executed ancient Roman people', 'Latin commentators on Aristotle', 'Catholic philosophers', 'Philosophers of Roman Italy', ""Burials at San Pietro in Ciel d'Oro"", 'Deaths by edged and bladed weapons', 'Augustinian philosophers', 'Neoplatonists', '477 births', '6th-century mathematicians', 'Greek–Latin translators'}"
Borders_of_the_Roman_Empire,"{'Roman frontiers', 'Geography of ancient Rome'}"
Christianity,"{'Monotheistic religions', 'Abrahamic religions', 'Western culture', '1st-century introductions', 'Christianity', '1st-century establishments'}"
Christopher_Lekapenos,"{'10th-century Byzantine emperors', 'Lekapenos family', 'Sons of Byzantine emperors', 'Constantine VII', 'Burials at Myrelaion Monastery (Constantinople)', '931 deaths', 'Byzantine junior emperors', 'Sons of emperors', 'Megaloi hetaireiarchai', 'Armenian Byzantine emperors', 'Macedonian dynasty'}"
Claudius,"{'People from Lugdunum', '1st-century historians', '1st-century Roman emperors', 'Poisoned ancient Romans', 'Murdered Roman emperors', 'Incest', 'Latin historians', 'Etruscologists', '10 BC births', '54 deaths', 'Claudius', 'Roman pharaohs', '1st-century murdered monarchs', 'Royalty and nobility with disabilities', 'Deified Roman emperors', 'Creators of writing systems', 'People with cerebral palsy', 'Ancient Romans in Britain', 'Claudii Nerones', '1st-century Gallo-Roman people', 'Julio-Claudian dynasty', '1st-century Roman consuls', 'Husbands of Agrippina the Younger'}"
College_of_Pontiffs,"{'Ancient Roman religious titles', 'Pontifices'}"
Cyril_Mango,"{'Historians of Byzantine art', 'British people of Greek descent', ""Academics of King's College London"", 'British Byzantinists', 'British people of Italian descent', 'Turkish emigrants to the United Kingdom', 'Scholars of Medieval Greek', 'Fellows of the British Academy', 'British people of Russian descent', '2021 deaths', 'Scholars of Byzantine literature', 'Writers from Istanbul', 'Fellows of the Society of Antiquaries of London', 'British literary scholars', '1928 births', 'Turkish people of Italian descent', 'Turkish people of Russian descent', 'Turkish people of Greek descent', 'Explorers of West Asia', 'Fellows of Exeter College, Oxford', 'Alumni of the University of St Andrews', 'Scholars of Byzantine history'}"
Fall_of_the_Western_Roman_Empire,"{'Fall of the Western Roman Empire', 'Societal collapse', '5th century in the Roman Empire', 'Dissolutions of empires'}"
Glycerius,"{'Comites domesticorum', '5th-century Western Roman emperors', 'Bishops of Split', '5th-century bishops in Pannonia', 'Ancient Romans from unknown gentes', '5th-century deaths'}"
