Source,Target
Automobile,%C3%89mile_Levassor
Automobile,1980s_oil_glut
Automobile,2%2B2_(car_body_style)
Automobile,A-segment
Automobile,Abbey_(1922_automobile)
Automobile,Accident_data_recorder
Automobile,Ackermann_steering_geometry
Automobile,Active_rollover_protection
Automobile,African_Americans
Automobile,Aftermath_of_World_War_II
Automobile,Air_cooling
Automobile,Air_pollution
Automobile,Airbag
Automobile,Airbox
Automobile,Alfred_P._Sloan
Automobile,All-terrain_vehicle
Automobile,Alloy_wheel
Automobile,Alternative_fuel_vehicle
Automobile,Alternatives_to_car_use
Automobile,Alternator
Automobile,Alternator_(automotive)
Automobile,Aluminium
Automobile,American_English
Automobile,Amphibious_vehicle
Automobile,Amsterdam
Automobile,Ancient_Greek
Automobile,Anti-lock_braking_system
Automobile,Anti-roll_bar
Automobile,Antique_car
Automobile,Apocryphal
Automobile,Apperson
Automobile,Approach_and_departure_angles
Automobile,Armand_Peugeot
Automobile,Armrest
Automobile,Assembly_line
Automobile,Association_for_Standardisation_of_Automation_and_Measuring_Systems
Automobile,Asthma
Automobile,Audi_A4
Automobile,Auguste_Doriot
Automobile,Autism
Automobile,Auto_Express
Automobile,Auto_industry
Automobile,Auto_maintenance
Automobile,Auto_mechanic
Automobile,Auto_rickshaw
Automobile,Autogas
Automobile,Automated_manual_transmission
Automobile,Automatic_transmission
Automobile,Automatic_vehicle_location
Automobile,Automobile_(disambiguation)
Automobile,Automobile_air_conditioning
Automobile,Automobile_auxiliary_power_outlet
Automobile,Automobile_handling
Automobile,Automobile_manufacturers_and_brands_of_China
Automobile,Automobile_platform
Automobile,Automobile_roof
Automobile,Automobiles_Hotchkiss
Automobile,Automotive_battery
Automobile,Automotive_city
Automobile,Automotive_design
Automobile,Automotive_engine
Automobile,Automotive_engineering
Automobile,Automotive_head-up_display
Automobile,Automotive_industry
Automobile,Automotive_industry_by_country
Automobile,Automotive_industry_crisis_of_2008%E2%80%932010
Automobile,Automotive_industry_in_Argentina
Automobile,Automotive_industry_in_Australia
Automobile,Automotive_industry_in_Bangladesh
Automobile,Automotive_industry_in_Belarus
Automobile,Automotive_industry_in_Brazil
Automobile,Automotive_industry_in_Bulgaria
Automobile,Automotive_industry_in_Canada
Automobile,Automotive_industry_in_China
Automobile,Automotive_industry_in_Croatia
Automobile,Automotive_industry_in_Egypt
Automobile,Automotive_industry_in_France
Automobile,Automotive_industry_in_Germany
Automobile,Automotive_industry_in_Hungary
Automobile,Automotive_industry_in_India
Automobile,Automotive_industry_in_Indonesia
Automobile,Automotive_industry_in_Iran
Automobile,Automotive_industry_in_Ireland
Automobile,Automotive_industry_in_Italy
Automobile,Automotive_industry_in_Japan
Automobile,Automotive_industry_in_Kenya
Automobile,Automotive_industry_in_Malaysia
Automobile,Automotive_industry_in_Mexico
Automobile,Automotive_industry_in_Morocco
Automobile,Automotive_industry_in_New_Zealand
Automobile,Automotive_industry_in_Nigeria
Automobile,Automotive_industry_in_North_Korea
Automobile,Automotive_industry_in_Pakistan
Automobile,Automotive_industry_in_Poland
Automobile,Automotive_industry_in_Romania
Automobile,Automotive_industry_in_Russia
Automobile,Automotive_industry_in_Serbia
Automobile,Automotive_industry_in_Slovakia
Automobile,Automotive_industry_in_South_Africa
Automobile,Automotive_industry_in_South_Korea
Automobile,Automotive_industry_in_Spain
Automobile,Automotive_industry_in_Sweden
Automobile,Automotive_industry_in_Taiwan
Automobile,Automotive_industry_in_Thailand
Automobile,Automotive_industry_in_Turkey
Automobile,Automotive_industry_in_Ukraine
Automobile,Automotive_industry_in_Uzbekistan
Automobile,Automotive_industry_in_Vietnam
Automobile,Automotive_industry_in_the_Czech_Republic
Automobile,Automotive_industry_in_the_Netherlands
Automobile,Automotive_industry_in_the_Philippines
Automobile,Automotive_industry_in_the_United_Kingdom
Automobile,Automotive_industry_in_the_United_States
Automobile,Automotive_lighting
Automobile,Automotive_navigation_system
Automobile,Automotive_night_vision
Automobile,Automotive_safety
Automobile,Axle
Automobile,Axle_track
Automobile,B-segment
Automobile,BMW
Automobile,Backbone_chassis
Automobile,Backup_camera
Automobile,Baja_Bug
Automobile,Balance_shaft
Automobile,Baquet_(car_body_style)
Automobile,Barchetta
Automobile,Battery_electric_vehicle
Automobile,Beam_axle
Automobile,Beijing
Automobile,Beltline_(automotive)
Automobile,Bench_seat
Automobile,Benz_%26_Cie.
Automobile,Benz_Patent-Motorwagen
Automobile,Berlinetta
Automobile,Bertha_Benz
Automobile,Bibcode_(identifier)
Automobile,Bicycle
Automobile,Bicycle-sharing_system
Automobile,Bicycle_sharing_system
Automobile,Biocomposite
Automobile,Biodiesel
Automobile,Biofuel
Automobile,Biogas
Automobile,Biogasoline
Automobile,"Birr,_County_Offaly"
Automobile,Birth_weight
Automobile,Blind_spot_monitor
Automobile,Block_heater
Automobile,Blowoff_valve
Automobile,Boda-boda
Automobile,Body-on-frame
Automobile,Bogot%C3%A1
Automobile,Boost_controller
Automobile,Boost_gauge
Automobile,Bore_(engine)
Automobile,Bowden_cable
Automobile,Brake
Automobile,Brake_bleeding
Automobile,Brake_fade
Automobile,Brake_fluid
Automobile,Brake_lining
Automobile,Breakover_angle
Automobile,British_English
Automobile,Brougham_(car_body)
Automobile,Bucket_seat
Automobile,Bumper_(car)
Automobile,Bumper_sticker
Automobile,Butterfly_doors
Automobile,Buzzer
Automobile,C-segment
Automobile,Cab_over
Automobile,Cabrio_coach
Automobile,Cadillac
Automobile,Camber_angle
Automobile,Camshaft
Automobile,Cannstatt
Automobile,Car-free_movement
Automobile,Car_(disambiguation)
Automobile,Car_alarm
Automobile,Car_body_style
Automobile,Car_boot_liner
Automobile,Car_classification
Automobile,Car_controls
Automobile,Car_costs
Automobile,Car_dependency
Automobile,Car_door
Automobile,Car_jockey
Automobile,Car_phone
Automobile,Car_platform
Automobile,Car_radio
Automobile,Car_rental
Automobile,Car_safety
Automobile,Car_seat
Automobile,Car_share
Automobile,Car_window
Automobile,Carbon_dioxide
Automobile,Carbon_fiber
Automobile,Carbon_nanotube
Automobile,Carburetor
Automobile,Cardiovascular_disease
Automobile,Carfree_city
Automobile,Cargo
Automobile,Carl_Benz
Automobile,Carpool
Automobile,Carputer
Automobile,Carriage
Automobile,Carsharing
Automobile,Cart
Automobile,Caster_angle
Automobile,Catalytic_converter
Automobile,Center_console_(automobile)
Automobile,Chang%27an_Avenue
Automobile,Chariot
Automobile,Charles_Kettering
Automobile,Charles_Terront
Automobile,Chassis
Automobile,Check_engine_light
Automobile,Chest_(mechanical_engineering)
Automobile,Chevrolet
Automobile,Chevrolet_Suburban
Automobile,Child_safety_lock
Automobile,Childhood_cancer
Automobile,Citro%C3%ABn
Automobile,City_Car_Club
Automobile,City_car
Automobile,Classic_car
Automobile,Classical_compound
Automobile,Climate_change
Automobile,Climate_change_mitigation_scenarios
Automobile,Clutch
Automobile,Coachbuilder
Automobile,Coil-on-plug_ignition
Automobile,Coil_spring
Automobile,Cole_Motor_Car_Company
Automobile,Collision_avoidance_system
Automobile,Combined_braking_system
Automobile,Combustion
Automobile,Combustion_chamber
Automobile,Common_ethanol_fuel_mixtures
Automobile,Commuting
Automobile,Compact_MPV
Automobile,Compact_car
Automobile,Compact_executive_car
Automobile,Compact_sport_utility_vehicle
Automobile,Compressed_natural_gas
Automobile,Compression_ignition
Automobile,Compression_ratio
Automobile,Congestion_pricing
Automobile,Connected_car
Automobile,Connecting_rod
Automobile,Conservatoire_National_des_Arts_et_M%C3%A9tiers
Automobile,Constant-velocity_joint
Automobile,Continental_tire
Automobile,Continuously_variable_transmission
Automobile,Convertible
Automobile,Copenhagen
Automobile,Core_plug
Automobile,Coup%C3%A9_utility
Automobile,Coupe
Automobile,Coupe_SUV
Automobile,Coupe_de_Ville
Automobile,Coupling
Automobile,"Cowley,_Oxford"
Automobile,Crankcase
Automobile,Crankcase_ventilation_system
Automobile,Crankpin
Automobile,Crankshaft
Automobile,Crossover_(automobile)
Automobile,Cruise_control
Automobile,Crumple_zone
Automobile,Cup_holder
Automobile,Curb_feeler
Automobile,Custom_car
Automobile,Custom_wheel
Automobile,Cycle_rickshaw
Automobile,Cycling
Automobile,Cylinder_(engine)
Automobile,Cylinder_bank
Automobile,Cylinder_head
Automobile,D-segment
Automobile,Dagmar_bumper
Automobile,Daihatsu
Automobile,Daimler-Motoren-Gesellschaft
Automobile,Daimler_Company
Automobile,Daimler_Motoren_Gesellschaft
Automobile,Dashboard
Automobile,David_Halberstam
Automobile,Daytime_running_lamp
Automobile,Daytime_running_lights
Automobile,De_Dion_tube
Automobile,De_Rivaz_engine
Automobile,Dead_centre_(engineering)
Automobile,Debadging
Automobile,Deflagration
Automobile,Depreciation
Automobile,Detonation
Automobile,Diesel_engine
Automobile,Diesel_fuel
Automobile,Diesel_particulate_filter
Automobile,Differential_(mechanical_device)
Automobile,Direct-drive_mechanism
Automobile,Direct-shift_gearbox
Automobile,Disc_brake
Automobile,Distributor
Automobile,Doi_(identifier)
Automobile,Dorris_Motors_Corporation
Automobile,Double_wishbone_suspension
Automobile,Drive_shaft
Automobile,Drive_wheel
Automobile,Driverless_car
Automobile,Driving
Automobile,Driving_while_black
Automobile,Drum_brake
