page_name,categories
%C3%89tienne_de_La_Bo%C3%A9tie,"{'Catholic philosophers', 'Catholic libertarians', '16th-century French philosophers', 'French Roman Catholic writers', '1563 deaths', 'French political philosophers', '16th-century French male writers', 'Libertarian theorists', 'Proto-anarchists', '1530 births', 'French male non-fiction writers', '16th-century Roman Catholics', '16th-century French poets', 'French male poets', 'College of Guienne alumni', 'People from Sarlat-la-Canéda', 'Nonviolence advocates', 'French Renaissance humanists'}"
1934_FIFA_World_Cup,"{'May 1934 sports events in Europe', 'June 1934 sports events in Europe', '1933–34 in Italian football', '1934 FIFA World Cup', 'FIFA World Cup tournaments', ""Men's international association football competitions hosted by Italy"", ""1934 in men's international association football""}"
1936_Summer_Olympics,"{'1936 in multi-sport events', 'International sports boycotts', 'Summer Olympics by year', '1936 Summer Olympics', 'Racism in sport', 'Olympic Games in Germany', 'August 1936 sports events in Europe', '1936 in German sport'}"
1936_Winter_Olympics,"{'1936 Winter Olympics', 'February 1936 sports events in Europe', '1936 in multi-sport events', 'Winter multi-sport events in Germany', '1930s in Bavaria', 'Olympic Games in Germany', 'Sport in Garmisch-Partenkirchen', '1936 in German sport', 'Winter Olympics by year', 'Sports competitions in Bavaria'}"
1972_Munich_Olympics,"{'August 1972 sports events in Europe', '1972 Summer Olympics', '1972 in West German sport', 'Summer Olympics by year', 'Olympic Games in Germany', 'Multi-sport events in West Germany', 'International sports competitions hosted by West Germany', 'September 1972 sports events in Europe', '1970s in Munich', 'Sports competitions in Munich', '1972 in multi-sport events'}"
2005_London_Marathon,"{'2005 marathons', 'April 2005 sports events in the United Kingdom', '2005 in sport in London', 'London Marathon'}"
2013%E2%80%9314_Premier_League,"{'Premier League seasons', '2013–14 in English football leagues', '2013–14 Premier League', '2013–14 in European association football leagues'}"
2014_FIFA_World_Cup,"{'2014 in Brazilian football', 'FIFA World Cup tournaments', 'June 2014 sports events in South America', ""2014 in men's international association football"", 'July 2014 sports events in South America', ""Men's international association football competitions hosted by Brazil"", '2014 FIFA World Cup'}"
2015%E2%80%9316_Bundesliga,"{'2015–16 in German football leagues', 'Bundesliga seasons', '2015–16 in European association football leagues'}"
2015_FIFA_Women%27s_World_Cup,"{'June 2015 sports events in Canada', ""2015 FIFA Women's World Cup"", ""Women's international association football competitions hosted by Canada"", ""2015 in Canadian women's soccer"", ""2015 in women's international association football"", ""FIFA Women's World Cup tournaments"", 'July 2015 sports events in Canada', ""Football at the 2016 Summer Olympics – Women's qualification""}"
AUDL,"{'Professional sports leagues in the United States', 'Sports leagues established in 2010', 'Ultimate Frisbee Association', 'Ultimate (sport) competitions', '2010 establishments in the United States'}"
Academic_discipline,"{'Academic disciplines', 'Main topic articles', 'Teaching'}"
Acrobatic_gymnastics,"{""Women's sports"", ""History of women's sports"", 'Gymnastics disciplines', 'Acrobatic gymnastics'}"
