Source,Target
1980_in_video_games,16-bit
1980_in_video_games,1970_in_video_games
1980_in_video_games,1970s_in_video_games
1980_in_video_games,1971_in_video_games
1980_in_video_games,1972_in_video_games
1980_in_video_games,1973_in_video_games
1980_in_video_games,1974_in_video_games
1980_in_video_games,1975_in_video_games
1980_in_video_games,1976_in_video_games
1980_in_video_games,1977_in_video_games
1980_in_video_games,1978_in_video_games
1980_in_video_games,1979_in_video_games
1980_in_video_games,1980_in_archaeology
1980_in_video_games,1980_in_architecture
1980_in_video_games,1980_in_art
1980_in_video_games,1980_in_games
1980_in_video_games,1980_in_literature
1980_in_video_games,1980_in_music
1980_in_video_games,1980_in_philosophy
1980_in_video_games,1980_in_science
1980_in_video_games,1980s_in_video_games
1980_in_video_games,1981_in_video_games
1980_in_video_games,1982_in_video_games
1980_in_video_games,1983_in_video_games
1980_in_video_games,1984_in_video_games
1980_in_video_games,1985_in_video_games
1980_in_video_games,1986_in_video_games
1980_in_video_games,1987_in_video_games
1980_in_video_games,1988_in_video_games
1980_in_video_games,1989_in_video_games
1980_in_video_games,1990_in_video_games
1980_in_video_games,1990s_in_video_games
1980_in_video_games,1991_in_video_games
1980_in_video_games,1992_in_video_games
1980_in_video_games,1993_in_video_games
1980_in_video_games,1994_in_video_games
1980_in_video_games,1995_in_video_games
1980_in_video_games,1996_in_video_games
1980_in_video_games,1997_in_video_games
1980_in_video_games,1998_in_video_games
1980_in_video_games,1999_in_video_games
1980_in_video_games,1UP.com
1980_in_video_games,2000_in_video_games
1980_in_video_games,2000s_in_video_games
1980_in_video_games,2001_in_video_games
1980_in_video_games,2002_in_video_games
1980_in_video_games,2003_in_video_games
1980_in_video_games,2004_in_video_games
1980_in_video_games,2005_in_video_games
1980_in_video_games,2006_in_video_games
1980_in_video_games,2007_in_video_games
1980_in_video_games,2008_in_video_games
1980_in_video_games,2009_in_video_games
1980_in_video_games,2010_in_video_games
1980_in_video_games,2010s_in_video_games
1980_in_video_games,2011_in_video_games
1980_in_video_games,2012_in_video_games
1980_in_video_games,2013_in_video_games
1980_in_video_games,2014_in_video_games
1980_in_video_games,2015_in_video_games
1980_in_video_games,2016_in_video_games
1980_in_video_games,2017_in_video_games
1980_in_video_games,2018_in_video_games
1980_in_video_games,2019_in_video_games
1980_in_video_games,2020_in_video_games
1980_in_video_games,2020s_in_video_games
1980_in_video_games,2021_in_video_games
1980_in_video_games,2022_in_video_games
1980_in_video_games,2023_in_video_games
1980_in_video_games,2024_in_video_games
1980_in_video_games,2025_in_video_games
1980_in_video_games,2026_in_video_games
1980_in_video_games,4X
1980_in_video_games,8-bit
1980_in_video_games,AAA_(video_game_industry)
1980_in_video_games,Acorn_Atom
1980_in_video_games,Action-adventure_game
1980_in_video_games,Action_game
1980_in_video_games,Action_role-playing_game
1980_in_video_games,Activision
1980_in_video_games,Adventure_(1980_video_game)
1980_in_video_games,Adventure_game
1980_in_video_games,Advergame
1980_in_video_games,Air-Sea_Battle
1980_in_video_games,Ameprod_TVG-10
1980_in_video_games,Apple_II
1980_in_video_games,Apple_Inc.
1980_in_video_games,Arcade_cabinet
1980_in_video_games,Arcade_game
1980_in_video_games,Arcade_system_board
1980_in_video_games,Arcade_video_game
1980_in_video_games,Arena_shooter
1980_in_video_games,Ars_Technica
1980_in_video_games,Art_game
1980_in_video_games,Artillery_game
1980_in_video_games,Asteroids_(video_game)
1980_in_video_games,"Atari,_Inc."
1980_in_video_games,Atari_2600
1980_in_video_games,Atari_400
1980_in_video_games,Atari_800
1980_in_video_games,Atari_Corp.
1980_in_video_games,Auto_battler
1980_in_video_games,BSS_01
1980_in_video_games,Battle_royale_game
1980_in_video_games,Battlezone_(1980_video_game)
1980_in_video_games,Beat_%27em_up
1980_in_video_games,Berzerk_(video_game)
1980_in_video_games,Bish%C5%8Djo_game
1980_in_video_games,Blue_Sky_Rangers
1980_in_video_games,Bonus_stage
1980_in_video_games,Bowling_(1979_video_game)
1980_in_video_games,Boxing_(1980_video_game)
1980_in_video_games,Breakout_(video_game)
1980_in_video_games,Broderbund
1980_in_video_games,Bug-Byte
1980_in_video_games,Bullet_hell
1980_in_video_games,Business_simulation_game
1980_in_video_games,CRC_Press
1980_in_video_games,Cash_Box
1980_in_video_games,Casual_game
1980_in_video_games,Christian_video_game
1980_in_video_games,Cinematronics
1980_in_video_games,City-building_game
1980_in_video_games,Climate_change_video_game
1980_in_video_games,Combat_flight_simulation_game
1980_in_video_games,Comedy_in_video_games
1980_in_video_games,Commodore_International
1980_in_video_games,Commodore_PET
1980_in_video_games,Computer_Bismarck
1980_in_video_games,Computer_wargame
1980_in_video_games,Console_war
1980_in_video_games,Construction_and_management_simulation
1980_in_video_games,Cooperative_video_game
1980_in_video_games,Cozy_game
1980_in_video_games,Crazy_Climber
1980_in_video_games,Cutscene
1980_in_video_games,DECO_Cassette_System
1980_in_video_games,Dale_Peterson
1980_in_video_games,Data_East
1980_in_video_games,Dating_sim
1980_in_video_games,Deck-building_game
1980_in_video_games,Digital_collectible_card_game
1980_in_video_games,Digital_tabletop_game
1980_in_video_games,Doujin_soft
1980_in_video_games,Dragster_(video_game)
1980_in_video_games,Dungeon_crawl
1980_in_video_games,Early_history_of_video_games
1980_in_video_games,Early_mainframe_games
1980_in_video_games,Edu-Ware
1980_in_video_games,Educational_video_game
1980_in_video_games,Eighth_generation_of_video_game_consoles
1980_in_video_games,Electronic_Games
1980_in_video_games,Emergent_gameplay
1980_in_video_games,Endless_runner
1980_in_video_games,Eroge
1980_in_video_games,Escape_room_video_game
1980_in_video_games,Falling-sand_game
1980_in_video_games,Fan_game
1980_in_video_games,Farm_life_sim
1980_in_video_games,Fifth_generation_of_video_game_consoles
1980_in_video_games,Fighting_game
1980_in_video_games,First-person_shooter
1980_in_video_games,First_generation_of_video_game_consoles
1980_in_video_games,Fishing_Derby
1980_in_video_games,Fishing_video_game
1980_in_video_games,Fitness_game
1980_in_video_games,Flight_simulation_video_game
1980_in_video_games,Football_(1978_video_game)
1980_in_video_games,Forbes
1980_in_video_games,Fourth_generation_of_video_game_consoles
1980_in_video_games,Full-motion_video
1980_in_video_games,Gacha_game
1980_in_video_games,Galaxian
1980_in_video_games,Game_%26_Watch
1980_in_video_games,GamesRadar%2B
1980_in_video_games,Germany
1980_in_video_games,Girls%27_video_games
1980_in_video_games,God_game
1980_in_video_games,Golden_age_of_arcade_video_games
1980_in_video_games,Government_simulation_game
1980_in_video_games,Grand_Theft_Auto_clone
1980_in_video_games,Grand_strategy_wargame
1980_in_video_games,Gunpei_Yokoi
1980_in_video_games,HAL_Laboratory
1980_in_video_games,HP_9800
1980_in_video_games,HP_Series_80
1980_in_video_games,Hack_and_slash
1980_in_video_games,Handheld_electronic_game
1980_in_video_games,Heiankyo_Alien
1980_in_video_games,Hero_shooter
1980_in_video_games,Hewlett-Packard
1980_in_video_games,Hidden_object_game
1980_in_video_games,History_of_arcade_video_games
1980_in_video_games,History_of_mobile_games
1980_in_video_games,History_of_video_game_consoles
1980_in_video_games,History_of_video_games
1980_in_video_games,Home_computer
1980_in_video_games,Home_console
1980_in_video_games,Horror_game
1980_in_video_games,Human_Engineered_Software
1980_in_video_games,Hypercasual_game
