page_name,categories
1970_in_video_games,"{'1970 in video gaming', 'Video games by year'}"
1970s_in_video_games,"{'Video games by decade', '1970s video games', '1970s in video gaming', '1970s in computing'}"
1972_in_video_games,"{'Video games by year', '1972 in video gaming'}"
1974_in_video_games,"{'Video games by year', '1974 in video gaming'}"
1979_in_video_games,"{'Video games by year', '1979 in video gaming'}"
1982_in_video_games,"{'1982 in video gaming', 'Video games by year'}"
1983_in_video_games,"{'Video games by year', '1983 in video gaming'}"
1983_video_game_crash,"{'History of video games', '1983 in economic history', 'Second-generation video game consoles', '1980s in video gaming', 'Economic bubbles', '1983 in video gaming', 'Business failures', '1983 in North America'}"
1986_in_video_games,"{'Video games by year', '1986 in video gaming'}"
1987_in_video_games,"{'Video games by year', '1987 in video gaming'}"
1988_in_video_games,"{'Video games by year', '1988 in video gaming'}"
1989_in_video_games,"{'Video games by year', '1989 in video gaming'}"
1990_in_video_games,"{'1990 in video gaming', 'Video games by year'}"
1993_in_video_games,"{'Video games by year', '1993 in video gaming'}"
1994_in_video_games,"{'Video games by year', '1994 in video gaming'}"
1996_in_video_games,"{'Video games by year', '1996 in video gaming'}"
1997_in_video_games,"{'Video games by year', '1997 in video gaming'}"
1998_in_video_games,"{'Video games by year', '1998 in video gaming'}"
1UP.com,"{'IGN', 'Internet properties disestablished in 2013', '2013 disestablishments in the United States', 'Defunct American websites', 'Internet properties established in 2003', '2003 establishments in the United States', 'Video game news websites'}"
2000s_in_video_games,"{'2000s video games', '2000s in video gaming', '2000s in computing', 'Video games by decade'}"
2001_in_video_games,"{'Video games by year', '2001 in video gaming'}"
2005_in_video_games,"{'Video games by year', '2005 in video gaming'}"
2007_in_video_games,"{'2007 in video gaming', 'Video games by year'}"
2008_in_video_games,"{'Video games by year', '2008 in video gaming'}"
2009_in_video_games,"{'Video games by year', '2009 in video gaming'}"
2011_in_video_games,"{'2011 in video gaming', 'Video games by year'}"
2016_in_video_games,"{'Video games by year', '2016 in video gaming'}"
2017_in_video_games,"{'2017 in video gaming', 'Video games by year'}"
2019_in_video_games,"{'Video games by year', '2019 in video gaming'}"
2020_in_video_games,"{'Video games by year', '2020 in video gaming'}"
2024_in_video_games,"{'2024 in video gaming', 'Video games by year'}"
2026_in_video_games,"{'Video games by year', '2026 in video gaming'}"
2D_computer_graphics,"{'Euclidean plane geometry', 'Computer graphics'}"
A.S._Douglas,"{'British Army personnel of World War II', 'British Home Guard soldiers', 'Alumni of the University of Cambridge', '2010 deaths', 'People from Kensington', 'Commanders of the Order of the British Empire', 'Royal Corps of Signals officers', 'Members of the University of Cambridge Computer Laboratory', 'University of Illinois faculty', 'Presidents of the British Computer Society', '1921 births', 'Academics from London', 'Fellows of the British Computer Society', 'Academics of the University of Leeds', 'English computer scientists', 'Fellows of Trinity College, Cambridge', 'UCAS'}"
Accelerometer,"{'Accelerometers', 'Acceleration'}"
Action-adventure_game,"{'Action-adventure games', 'Video game genres'}"
Action_game,"{'Action games', '1970s video games', 'Video game genres', 'Action (genre)'}"
Adobe_Flash,"{'MacOS multimedia software', 'Computing platforms', 'Windows multimedia software', 'Discontinued Adobe software', 'American inventions', 'Obsolete technologies', 'Macromedia software', 'Cross-platform software', 'Adobe Flash', 'Adobe software', 'Video game development software', '1993 software', 'Macintosh multimedia software', 'C++ software'}"
Adventure_game,"{'Video game genres', 'Adventure games'}"
Advergame,"{'Advergames', 'Video game terminology'}"
Allan_Alcorn,"{'UC Berkeley College of Engineering alumni', 'Academy of Interactive Arts & Sciences Pioneer Award recipients', 'Atari people', '1948 births', 'American computer scientists', 'American video game programmers', 'American electrical engineers', 'Apple Fellows', 'Living people'}"
American_Psychiatric_Association,{'American Psychiatric Association'}
Amusement_arcades,"{'1980s fads and trends', 'Arcade games', 'Recreation', 'Amusement arcades', ""Children's entertainment""}"
Analog_computer,"{'Analog computers', 'History of computing hardware', 'Greek inventions'}"
Analog_stick,{'Joysticks'}
App_Store_(iOS),"{'IOS software', 'Apple Inc. services', 'Swiss inventions', 'German inventions', 'American inventions', 'Mobile software distribution platforms', 'TvOS software', 'Computer-related introductions in 2008', 'ITunes'}"
Arcade_cabinet,"{'Commercial machines', 'Video game terminology', 'Arcade hardware'}"
Arcade_games,{'Arcade games'}
Arcade_video_game,"{""Children's entertainment"", 'Arcade video games', 'Video game terminology', 'Video game platforms'}"
Arena_shooter,"{'Arena shooters', 'Video game genres'}"
Art_game,"{'New media art', 'Video game genres', 'Art games'}"
Artificial_intelligence_in_video_games,"{'Game artificial intelligence', 'Video game development'}"
Assassin%27s_Creed_II,"{'Spike Video Game Award winners', 'Video games developed in Canada', 'Video games set in Vatican City', 'Single-player video games', 'PlayStation 4 Pro enhanced games', 'Video games set in 12th-century Abbasid Caliphate', '2009 video games', 'Video games set in Acre, Israel', 'Cultural depictions of Niccolò Machiavelli', ""Assassin's Creed"", 'Video games scored by Jesper Kyd', 'Cultural depictions of Pope Alexander VI', 'Video games set in the Italian Renaissance', ""Cultural depictions of Lorenzo de' Medici"", 'Nintendo Switch games', 'PlayStation 3 games', 'PlayStation 4 games', 'Cultural depictions of Leonardo da Vinci', 'Xbox One games', 'Stealth video games', 'Xbox 360 games', 'Video games set in Florence', 'Video games set in the 15th century', 'Sequel video games', 'Open-world video games', 'Video games using Havok', 'Video games set in 2012', 'Video games about revenge', 'Catholic Church in popular culture', 'Windows games', 'Action-adventure games', 'Ubisoft games', 'Video games set in Venice', 'Video games set in Rome', 'Cultural depictions of Girolamo Savonarola', 'MacOS games', 'Cultural depictions of Caterina Sforza'}"
Asymmetric_gameplay,"{'Multiplayer video games', 'Video game terminology'}"
"Atari,_Inc.","{'Defunct computer companies based in California', 'Pinball manufacturers', 'Video game publishers', 'Defunct video game companies based in California', 'Electronics companies disestablished in 1992', 'Defunct computer hardware companies', 'American companies disestablished in 1992', 'Companies based in Sunnyvale, California', 'Defunct manufacturing companies based in the San Francisco Bay Area', 'American companies established in 1972', 'Former Time Warner subsidiaries', 'Video game companies established in 1972', '1992 disestablishments in California', '1972 establishments in California', 'Defunct computer companies of the United States', 'Electronics companies established in 1972', 'Video game development companies', 'Video game companies disestablished in 1992', 'Former Warner Communications subsidiaries', 'Atari', 'Video game companies based in the San Francisco Bay Area'}"
Augmented_reality,"{'3D GUIs', '3D human-computer interaction', 'Applications of computer vision', 'User interface techniques', 'Augmented reality'}"
Australian_Classification_Board,"{'1910 establishments in Australia', 'Commonwealth Government agencies of Australia', 'Australian classification system', 'Motion picture rating systems', 'Video game organizations', 'Entertainment rating organizations', 'Censorship in Australia', 'Television organisations in Australia', 'Film organisations in Australia', 'Video game content ratings systems'}"
Auto_battler,"{'Auto battler video games', 'Video game genres'}"
BBC_News,"{'International Emmy Awards Current Affairs & News winners', 'YouTube channels launched in 2006', '1922 establishments in the United Kingdom', 'BBC News', 'Multilingual news services', 'Tor onion services', 'BBC divisions', 'Television news in the United Kingdom', 'Peabody Award winners'}"
Bibcode_(identifier),"{'Index (publishing)', 'Electronic documents', 'Identifiers', 'Computational astronomy'}"
Billboard_(magazine),"{'Magazines established in 1894', 'Weekly magazines published in the United States', 'Billboard (magazine)', '1894 establishments in Ohio', 'VNU Business Media publications', 'Magazines about the media', 'Magazines published in New York City', 'Music magazines published in the United States', 'Professional and trade magazines published in the United States', 'Magazines published in Cincinnati', 'GLAAD Media Awards winners'}"
Bish%C5%8Djo_game,"{'Japanese games', 'Girls', 'Raising sims', 'Bishōjo games', 'Romance video games', 'Anime and manga terminology', 'Video game genres'}"
Bonus_stage,"{'Video game levels', 'Video game terminology'}"
Boss_(video_game),"{'Video game terminology', '1975 neologisms', 'Video game bosses'}"
Boss_(video_games),"{'Video game terminology', '1975 neologisms', 'Video game bosses'}"
Bullet_hell,"{'Bullet hell video games', 'Video game genres'}"
BusinessWeek,"{'2009 mergers and acquisitions', 'Weekly magazines published in the United States', 'Multilingual magazines', 'Magazines published in New York City', 'Bloomberg L.P.', 'Business magazines published in the United States', 'Magazines established in 1929'}"
CBS_Interactive,"{'Online mass media companies of the United States', 'American companies established in 2005', 'Paramount Streaming', '2005 establishments in California', 'Paramount Skydance divisions', 'Mass media companies established in 2005'}"
CD-ROM,"{'Rotating disc computer storage media', 'Ecma standards', 'Optical computer storage', 'Rainbow Books', 'Compact disc', 'Video game distribution', 'Optical computer storage media'}"
CNBC,"{'CNBC original programming', 'Former joint ventures', 'Englewood Cliffs, New Jersey', 'Television stations in New Jersey', '24-hour television news channels in the United States', 'English-language television stations in the United States', 'NBCUniversal networks', 'Companies based in Bergen County, New Jersey', 'Business-related television channels', 'NBC Sports', 'Peabody Award winners', 'U.S. Route 9W', 'SiriusXM Radio channels', 'CNBC global channels', 'Television channels and stations established in 1989', 'CNBC'}"
Campaign_(gaming),{'Role-playing game terminology'}
Capture_the_flag,"{'Tag variants', 'Computer network security', 'Team sports', ""Children's games"", 'Flag practices', 'Capture the flag (game)', 'Outdoor games', 'Video game terminology'}"
Carmen_Sandiego_(video_game_series),"{'Video game franchises introduced in 1985', 'Carmen Sandiego games', 'Video games adapted into television shows', 'Video game franchises', 'Carmen Sandiego'}"
Casual_game,"{'Casual games', 'Video game genres'}"
Casual_games,"{'Casual games', 'Video game genres'}"
Cheat_cartridge,{'Cheating in video games'}
Cheat_codes,{'Cheating in video games'}
Checkers_(video_game),"{'History of computing in the United Kingdom', '1952 video games', 'Single-player video games', 'Video games developed in the United Kingdom', 'Draughts', 'Early history of video games', 'Puzzle video games'}"
Chicago_Sun-Times,"{'Nonprofit newspapers', 'Newspapers published in Chicago', 'Pulitzer Prize–winning newspapers', 'Daily newspapers published in the United States', 'Chicago Sun-Times', 'Newspapers established in 1948'}"
Chinese_Communist_Party,"{'Ruling communist parties', ""Government of the People's Republic of China"", 'Political parties in the Republic of China', '1921 establishments in China', 'Political parties established in 1921', 'Maoist parties', 'Chinese Communist Party', 'Parties of one-party systems', 'Chinese nationalist political parties', 'Chinese Civil War', 'Marxist parties in China', 'Communist parties in China'}"
